trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
15,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,30.94779091613355,30.94779091613355,0,0,0,69,19,73,0,0,0,0,0,0.0,0,157,0,144,382,49,71,73,144,0,0.22477064220183487,28.8,0.0,collision_intent:71;state:73,0.1499999999999999,0.044520547945205546,28,9.9462,1.3549,3.1414,0.4822,42,6.8048,0.6514,completed
16,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,29.999919310205886,29.999919310205886,0,0,0,64,18,65,3,0,0,0,0,0.0,0,160,0,134,352,47,66,68,134,0,0.23383084577114427,26.8,0.0,collision_intent:66;state:68,0.1499999999999999,0.0807692307692307,37,20.7038,1.2753,5.128,0.4493,63,15.5758,0.3527,completed
17,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,40.21663083841903,40.21663083841903,0,0,0,76,21,76,4,1,12,4,4,30.0,2,230,0,164,418,73,84,80,164,0,0.3054393305439331,32.8,0.0,collision_intent:84;state:80,0.3500000000000001,0.08552631578947367,79,23.1104,0.8256,5.1672,0.372,102,17.9432,0.2486,completed
18,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,30.93465445585015,30.93465445585015,0,0,0,58,19,61,1,1,6,1,2,20.0,2,176,0,122,321,43,60,62,122,0,0.23369565217391305,24.4,0.0,collision_intent:60;state:62,0.44999999999999996,0.13524590163934436,67,28.6457,1.05,6.6901,0.3875,113,21.9556,0.3018,completed
19,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,33.39904385824463,33.39904385824463,0,0,0,55,20,59,0,0,0,0,0,0.0,0,198,0,117,303,47,58,59,117,0,0.26704545454545453,23.4,0.0,collision_intent:58;state:59,0.3500000000000001,0.19067796610169485,92,31.9443,0.8613,6.7602,0.4204,142,25.1841,0.2703,completed
20,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,27.548095626277615,27.548095626277615,1,1,1,60,17,63,1,0,0,0,0,0.0,0,145,0,126,318,57,62,64,126,0,0.30158730158730157,25.2,0.0,collision_intent:62;state:64,0.3500000000000001,0.07539682539682535,35,10.321,0.8131,2.9442,0.3881,50,7.3768,0.2239,completed
21,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,34.15143248611043,34.15143248611043,1,1,1,78,21,77,5,0,2,1,1,5.0,1,178,0,164,438,51,82,82,164,0,0.20987654320987653,32.8,0.0,collision_intent:82;state:82,0.3500000000000001,0.04870129870129869,23,7.8795,0.7801,2.7095,0.3543,29,5.17,0.2568,completed
22,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,38.08951749825663,38.08951749825663,1,1,1,83,23,83,4,0,0,0,0,0.0,0,194,0,172,447,66,85,87,172,0,0.2558139534883721,34.4,0.0,collision_intent:85;state:87,0.3500000000000001,0.08734939759036142,35,12.008,1.0116,3.3379,0.3541,50,8.6701,0.284,completed
23,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,22.709605289964276,22.709605289964276,0,0,0,52,14,56,0,0,0,0,0,0.0,0,120,0,110,285,43,54,56,110,0,0.25903614457831325,22.0,0.0,collision_intent:54;state:56,0.3500000000000001,0.044642857142857206,21,7.9726,0.8293,2.8904,0.3994,27,5.0822,0.2434,completed
24,known_visit,DMCHBA,bernoulli,drop_0.25,19,361,4,5,targets_5_dmchba_h5_bernoulli_025,objective_tuning_target_load_pilot_25\scenarios\known_visit_g19_t5_n25.csv,5,True,27.916927286683617,27.916927286683617,0,0,0,59,17,63,0,0,0,0,0,0.0,0,147,0,125,329,43,62,63,125,0,0.23118279569892472,25.0,0.0,collision_intent:62;state:63,0.1499999999999999,0.059523809523809534,34,14.775,0.8965,4.3072,0.446,55,10.4678,0.2677,completed
