trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_index,target_x,target_y,first_completion_time_s,first_completion_sim_time_s,first_found_by_robot,first_finder_robot_id,total_visits,duplicate_visits,completed,trial_status,stage,environment,parameter,value,setting,algorithm_key,comm_label,out_dir,run_id
1,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,5,13,7,22.381571456150883,22.381571456150883,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
1,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,6,11,2,20.831720349800346,20.831720349800346,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
1,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,7,15,16,31.953345181072454,31.953345181072454,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
1,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,8,16,6,29.91906288805043,29.91906288805043,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
1,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,9,9,14,18.732616886618356,18.732616886618356,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
1,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,10,7,16,14.118546102205375,14.118546102205375,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
2,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,1,0,4,5.487844854459396,5.487844854459396,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
2,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,2,8,8,15.734593487729809,15.734593487729809,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
2,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,3,13,2,31.592211904897834,31.592211904897834,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
2,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,4,0,2,2.190074005228109,2.190074005228109,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
2,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,5,12,18,19.08004033978471,19.08004033978471,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
2,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,6,0,9,3.8584930796759602,3.8584930796759602,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
2,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,7,16,12,36.62070105657642,36.62070105657642,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
2,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,8,4,15,23.216811781594306,23.216811781594306,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
2,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,9,14,2,33.63414145262878,33.63414145262878,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
2,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,10,12,9,24.634453937485812,24.634453937485812,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
3,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,1,15,11,33.342477258801715,33.342477258801715,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
3,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,2,11,8,21.124803640412935,21.124803640412935,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
3,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,3,11,16,32.79283969417724,32.79283969417724,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
3,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,4,7,17,24.00364716175837,24.00364716175837,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
3,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,5,10,5,25.592753781040624,25.592753781040624,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
3,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,6,0,15,7.682357228582313,7.682357228582313,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
3,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,7,0,13,0.4308417972604245,0.4308417972604245,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
3,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,8,1,12,4.433120099766395,4.433120099766395,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
3,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,9,3,14,11.674995871913485,11.674995871913485,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
3,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,10,2,7,3.9944554446896627,3.9944554446896627,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
4,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,1,13,1,27.10445776114077,27.10445776114077,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
4,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,2,17,14,38.311406086693886,38.311406086693886,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
4,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,3,8,0,12.296290653277353,12.296290653277353,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
4,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,4,10,2,19.653958394029253,19.653958394029253,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
4,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,5,16,10,29.35440953468731,29.35440953468731,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
4,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,6,4,18,9.422135851712147,9.422135851712147,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
4,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,7,0,17,0.41701776032942595,0.41701776032942595,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
4,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,8,1,0,0.16800535616875542,0.16800535616875542,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
4,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,9,12,16,37.6827698146003,37.6827698146003,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
4,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,10,8,13,25.289882402081695,25.289882402081695,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
5,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,1,1,9,5.5277209468870385,5.5277209468870385,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
5,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,2,12,6,23.161333899479995,23.161333899479995,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
5,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,3,16,8,33.69775442218614,33.69775442218614,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
5,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,4,14,1,23.93851011756585,23.93851011756585,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
5,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,5,3,5,5.343453852784241,5.343453852784241,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
5,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,6,8,15,17.776902271495203,17.776902271495203,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
5,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,7,1,6,0.11559040578008108,0.11559040578008108,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
5,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,8,10,6,19.372010203688063,19.372010203688063,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
5,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,9,16,3,30.859166551298877,30.859166551298877,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
5,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,10,15,14,31.81102303923857,31.81102303923857,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
6,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,1,4,12,9.705513781731266,9.705513781731266,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
6,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,2,9,2,17.78221581001773,17.78221581001773,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
6,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,3,4,2,8.779935340684174,8.779935340684174,00,00,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
6,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,4,13,8,24.782289076814234,24.782289076814234,01,01,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
6,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,5,16,13,49.23042903830033,49.23042903830033,03,03,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
6,known_visit,DGA,ideal,,19,361,4,10,dga_iter_1_ideal,scenarios/known_visit_10target_300.csv,6,6,13,15.259548382966084,15.259548382966084,02,02,1,0,True,completed,known_dga_iteration,known,dga_iterations,1,iter_1,dga,ideal,known_target_sensitivity_test_results/dga_iteration/raw/iter_1/ideal/dga_iter_1_ideal,dga_iter_1_ideal
