scenario,algorithm,horizon,metric_column,n_matched_trials,mean_primary_steps,standard_error_steps,eligible,empirical_best_horizon,empirical_best_mean,eligible_worst_mean,relative_range_pct,plateau_threshold_pct,horizon_informative,classification,native_default_horizon,selected_horizon,selected
CLIPS,HIPC,8,max_steps_any_robot,299,47.6939799331104,1.82465528140539,1,5,45.8678929765886,47.6939799331104,3.98118779394073,1,1,horizon-informative,3,5,0
CLIPS,HIPC,12,max_steps_any_robot,299,46.4715719063545,1.81628408718416,1,5,45.8678929765886,47.6939799331104,3.98118779394073,1,1,horizon-informative,3,5,0
CLIPS,PI,1,max_steps_any_robot,300,46.8833333333333,1.8017036922655,0,2,45.8316666666667,47.69,4.05469289792356,1,1,horizon-informative,3,2,0
CLIPS,PI,2,max_steps_any_robot,300,45.8316666666667,1.72073637100262,1,2,45.8316666666667,47.69,4.05469289792356,1,1,horizon-informative,3,2,1
CLIPS,PI,3,max_steps_any_robot,300,46.9516666666667,1.79254789974286,1,2,45.8316666666667,47.69,4.05469289792356,1,1,horizon-informative,3,2,0
CLIPS,PI,5,max_steps_any_robot,300,46.23,1.80003756309127,1,2,45.8316666666667,47.69,4.05469289792356,1,1,horizon-informative,3,2,0
CLIPS,PI,8,max_steps_any_robot,300,46.1466666666667,1.72079564271837,1,2,45.8316666666667,47.69,4.05469289792356,1,1,horizon-informative,3,2,0
CLIPS,PI,12,max_steps_any_robot,300,47.69,1.80496549715801,1,2,45.8316666666667,47.69,4.05469289792356,1,1,horizon-informative,3,2,0
CV,ACBBA,1,max_robot_steps,300,24.6333333333333,0.195765275538467,0,2,25.295,32.4016666666667,28.0951439678461,1,1,horizon-informative,3,2,0
CV,ACBBA,2,max_robot_steps,300,25.295,0.221191727646043,1,2,25.295,32.4016666666667,28.0951439678461,1,1,horizon-informative,3,2,1
CV,ACBBA,3,max_robot_steps,300,26.975,0.242330806174037,1,2,25.295,32.4016666666667,28.0951439678461,1,1,horizon-informative,3,2,0
CV,ACBBA,5,max_robot_steps,300,29.7633333333333,0.294755282104498,1,2,25.295,32.4016666666667,28.0951439678461,1,1,horizon-informative,3,2,0
CV,ACBBA,8,max_robot_steps,300,31.3,0.350624542319416,1,2,25.295,32.4016666666667,28.0951439678461,1,1,horizon-informative,3,2,0
CV,ACBBA,12,max_robot_steps,300,32.4016666666667,0.402830691433274,1,2,25.295,32.4016666666667,28.0951439678461,1,1,horizon-informative,3,2,0
CV,DGA,1,max_robot_steps,300,21.9866666666667,0.169544167766059,0,3,22.525,22.8766666666667,1.56122826489086,1,1,horizon-informative,3,3,0
CV,DGA,2,max_robot_steps,300,22.5766666666667,0.198790564644305,1,3,22.525,22.8766666666667,1.56122826489086,1,1,horizon-informative,3,3,0
CV,DGA,3,max_robot_steps,300,22.525,0.200349819483882,1,3,22.525,22.8766666666667,1.56122826489086,1,1,horizon-informative,3,3,1
CV,DGA,5,max_robot_steps,300,22.6716666666667,0.191744591788449,1,3,22.525,22.8766666666667,1.56122826489086,1,1,horizon-informative,3,3,0
CV,DGA,8,max_robot_steps,300,22.8766666666667,0.210878521954999,1,3,22.525,22.8766666666667,1.56122826489086,1,1,horizon-informative,3,3,0
CV,DGA,12,max_robot_steps,300,22.6966666666667,0.210745257908583,1,3,22.525,22.8766666666667,1.56122826489086,1,1,horizon-informative,3,3,0
CV,DMCHBA,1,max_robot_steps,300,22.8583333333333,0.166400986681679,0,12,22.96,23.0883333333333,0.558943089430897,1,0,horizon-insensitive,3,3,0
CV,DMCHBA,2,max_robot_steps,300,23.0883333333333,0.184922448015398,1,12,22.96,23.0883333333333,0.558943089430897,1,0,horizon-insensitive,3,3,0
CV,DMCHBA,3,max_robot_steps,300,23.0833333333333,0.181146376341995,1,12,22.96,23.0883333333333,0.558943089430897,1,0,horizon-insensitive,3,3,1
CV,DMCHBA,5,max_robot_steps,300,23.0683333333333,0.17864999651844,1,12,22.96,23.0883333333333,0.558943089430897,1,0,horizon-insensitive,3,3,0
CV,DMCHBA,8,max_robot_steps,300,22.9966666666667,0.17387948858755,1,12,22.96,23.0883333333333,0.558943089430897,1,0,horizon-insensitive,3,3,0
CV,DMCHBA,12,max_robot_steps,300,22.96,0.171572827768675,1,12,22.96,23.0883333333333,0.558943089430897,1,0,horizon-insensitive,3,3,0
CV,HIPC,1,max_robot_steps,300,23.515,0.174780719441583,0,2,24.2866666666667,37.5316666666667,54.5360966236618,1,1,horizon-informative,3,2,0
CV,HIPC,2,max_robot_steps,300,24.2866666666667,0.195642231053356,1,2,24.2866666666667,37.5316666666667,54.5360966236618,1,1,horizon-informative,3,2,1
CV,HIPC,3,max_robot_steps,300,26.4883333333333,0.255490634879899,1,2,24.2866666666667,37.5316666666667,54.5360966236618,1,1,horizon-informative,3,2,0
CV,HIPC,5,max_robot_steps,300,31.8333333333333,0.341069644523606,1,2,24.2866666666667,37.5316666666667,54.5360966236618,1,1,horizon-informative,3,2,0
CV,HIPC,8,max_robot_steps,300,35.7616666666667,0.454737347674183,1,2,24.2866666666667,37.5316666666667,54.5360966236618,1,1,horizon-informative,3,2,0
CV,HIPC,12,max_robot_steps,300,37.5316666666667,0.5296182883936,1,2,24.2866666666667,37.5316666666667,54.5360966236618,1,1,horizon-informative,3,2,0
CV,PI,1,max_robot_steps,300,25.8333333333333,0.217674100712842,0,2,27.5066666666667,43.335,57.5436257876878,1,1,horizon-informative,3,2,0
CV,PI,2,max_robot_steps,300,27.5066666666667,0.258133828095014,1,2,27.5066666666667,43.335,57.5436257876878,1,1,horizon-informative,3,2,1
CV,PI,3,max_robot_steps,300,30.7816666666667,0.347822485233117,1,2,27.5066666666667,43.335,57.5436257876878,1,1,horizon-informative,3,2,0
CV,PI,5,max_robot_steps,300,35.6066666666667,0.375408906256983,1,2,27.5066666666667,43.335,57.5436257876878,1,1,horizon-informative,3,2,0
CV,PI,8,max_robot_steps,300,38.4266666666667,0.445613911038343,1,2,27.5066666666667,43.335,57.5436257876878,1,1,horizon-informative,3,2,0
CV,PI,12,max_robot_steps,300,43.335,0.511681627646869,1,2,27.5066666666667,43.335,57.5436257876878,1,1,horizon-informative,3,2,0
