trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic
63,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,202,0,87,116,0,0,0,875,1725,1082,208,667,410,465,0,collision_intent:208;hipc_entry:465;state:202
63,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,168,0,84,85,0,0,0,950,1681,1052,173,777,341,609,0,collision_intent:173;hipc_clear_bundle:1;hipc_entry:608;state:168
64,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,80,0,42,39,0,0,0,1101,2147,1377,85,1016,165,936,0,collision_intent:85;hipc_entry:936;state:80
64,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,254,0,135,120,0,0,0,1233,1821,1572,262,971,516,717,0,collision_intent:262;hipc_entry:717;state:254
64,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,81,0,48,34,0,0,0,1065,2038,1523,84,981,165,900,0,collision_intent:84;hipc_entry:900;state:81
64,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,239,0,136,104,0,0,0,1227,1946,1452,245,982,484,743,0,collision_intent:245;hipc_entry:743;state:239
65,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,207,0,109,99,0,0,0,931,1756,988,209,722,416,515,0,collision_intent:209;hipc_entry:515;state:207
65,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,199,0,62,138,0,0,0,916,1619,1140,207,709,406,510,0,collision_intent:207;hipc_entry:510;state:199
65,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,199,0,55,145,0,0,0,876,1676,1123,210,666,409,467,0,collision_intent:210;hipc_clear_bundle:1;hipc_entry:466;state:199
65,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,202,0,135,68,0,0,0,953,1689,1034,208,745,410,543,0,collision_intent:208;hipc_entry:543;state:202
66,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,76,0,33,44,0,0,0,1075,2126,1575,82,993,158,917,0,collision_intent:82;hipc_entry:917;state:76
66,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,285,0,187,99,0,0,0,1285,2051,1441,289,996,574,711,0,collision_intent:289;hipc_entry:711;state:285
66,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,282,0,112,171,0,0,0,1283,1977,1517,287,996,569,714,0,collision_intent:287;hipc_entry:714;state:282
66,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,75,0,29,47,0,0,0,1134,2155,1487,78,1056,153,981,0,collision_intent:78;hipc_entry:981;state:75
67,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,209,0,95,115,0,0,0,984,1646,1063,214,770,423,561,0,collision_intent:214;hipc_entry:561;state:209
67,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,01,206,0,110,97,0,0,0,935,1823,936,212,723,418,517,0,collision_intent:212;hipc_entry:517;state:206
67,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,02,210,0,71,140,0,0,0,830,1688,1176,213,617,423,407,0,collision_intent:213;hipc_entry:407;state:210
67,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,03,212,0,85,128,0,0,0,945,1774,975,213,732,425,520,0,collision_intent:213;hipc_entry:520;state:212
68,HIPC,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,hipc_gilbert_elliott_drop_0_50_rho_0_8,,coverage,completed,,,00,283,0,186,98,0,0,0,1316,1935,1385,283,1033,566,750,0,collision_intent:283;hipc_entry:750;state:283
