trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,ACBBA,bernoulli,drop_0.25,25,625,8,10,acbba_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,2);(11,22);(9,9);(21,1);(14,2);(7,9);(21,24);(11,3);(3,18);(22,18)",10,True,55.85204471029193,55.85204471029193,00:1;01:0;02:3;03:2;04:0;05:1;06:1;07:2,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(14,19);(6,7);(21,1);(21,9);(12,8);(10,7);(13,8);(22,13)",623,0,completed
1,known_visit,ACBBA,bernoulli,drop_0.25,25,625,8,10,acbba_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,0);(22,23);(6,15);(23,23);(7,4);(12,6);(14,19);(20,4);(3,15);(10,16)",10,True,41.81166584499782,41.81166584499782,00:1;01:2;02:1;03:0;04:0;05:3;06:2;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(3,15);(20,4);(15,5);(9,0);(7,5);(19,18);(23,23);(14,19)",465,0,completed
2,known_visit,ACBBA,bernoulli,drop_0.25,25,625,8,10,acbba_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(17,10);(15,0);(16,1);(21,23);(11,7);(1,11);(6,14);(8,0);(15,22);(24,6)",10,True,53.72971482334242,53.72971482334242,00:3;01:1;02:0;03:1;04:3;05:0;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(16,2);(15,2);(1,13);(14,20);(24,6);(15,15);(21,23);(4,22)",637,0,completed
3,known_visit,ACBBA,bernoulli,drop_0.25,25,625,8,10,acbba_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(14,2);(4,19);(6,15);(23,19);(22,10);(2,14);(17,16);(1,11);(9,14);(7,8)",10,True,59.57792163372394,59.57792163372394,00:2;01:0;02:0;03:1;04:4;05:1;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(16,17);(8,8);(7,10);(10,15);(23,19);(14,2);(23,10);(4,17)",701,0,completed
4,known_visit,ACBBA,bernoulli,drop_0.25,25,625,8,10,acbba_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,13);(21,0);(16,9);(18,18);(20,1);(12,21);(8,20);(24,6);(20,12);(2,6)",10,True,65.45504189490701,65.45504189490701,00:3;01:1;02:1;03:1;04:3;05:1;06:0;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(20,12);(7,6);(17,5);(21,1);(20,15);(12,20);(2,13);(2,6)",746,0,completed
5,known_visit,ACBBA,bernoulli,drop_0.25,25,625,8,10,acbba_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,1);(2,6);(5,21);(7,2);(1,8);(16,3);(21,4);(24,20);(13,23);(5,6)",10,True,41.20001806235599,41.20001806235599,00:1;01:3;02:2;03:1;04:0;05:0;06:2;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(16,5);(21,4);(5,21);(13,13);(12,2);(12,11);(24,20);(13,22)",439,0,completed
6,known_visit,ACBBA,bernoulli,drop_0.25,25,625,8,10,acbba_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,9);(24,15);(3,8);(9,8);(8,0);(24,20);(10,3);(13,9);(12,24);(11,14)",10,True,51.95029310374321,51.95029310374321,00:1;01:1;02:2;03:2;04:0;05:1;06:1;07:2,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(10,8);(12,7);(11,14);(14,12);(8,0);(23,19);(15,11);(24,20)",586,0,completed
7,known_visit,ACBBA,bernoulli,drop_0.25,25,625,8,10,acbba_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,17);(9,16);(9,18);(24,1);(21,18);(9,19);(2,19);(14,19);(14,22);(2,6)",10,True,51.14489016243814,51.14489016243814,00:1;01:1;02:0;03:0;04:1;05:2;06:4;07:1,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(6,19);(21,1);(14,7);(3,16);(9,19);(14,19);(21,18);(7,19)",597,0,completed
8,known_visit,ACBBA,bernoulli,drop_0.25,25,625,8,10,acbba_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,11);(22,0);(10,0);(12,12);(22,15);(7,8);(12,17);(5,8);(20,13);(11,13)",10,True,53.33243712564062,53.33243712564062,00:2;01:0;02:2;03:1;04:2;05:1;06:2;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(22,0);(12,12);(11,12);(17,0);(12,9);(13,9);(22,15);(13,14)",627,0,completed
9,known_visit,ACBBA,bernoulli,drop_0.25,25,625,8,10,acbba_g25_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,13);(0,15);(8,21);(12,5);(6,20);(1,10);(15,19);(2,11);(24,1);(15,2)",10,True,48.460716422762104,48.460716422762104,00:1;01:2;02:2;03:1;04:1;05:2;06:1;07:0,"(0,0);(0,3);(0,7);(0,10);(0,14);(0,17);(0,21);(0,24)","(12,13);(22,1);(12,2);(1,12);(12,14);(15,18);(2,18);(6,20)",556,0,completed
