trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,34.547905545121004,34.547905545121004,0,0,0,60,21,64,0,1,0,0,202,0,203,588,18,62,141,126,77,0.04285714285714286,20.3,7.7,collision_intent:62;dga_entry:77;state:64,0.30000000000000004,0.2421875,known_visit_core_500,10,4,8
1,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,38.57187029334894,38.57187029334894,0,0,0,74,23,78,0,2,0,0,217,0,290,827,40,76,214,154,136,0.06259780907668232,29.0,13.6,collision_intent:76;dga_entry:136;state:78,0.3999999999999999,0.11538461538461542,known_visit_core_500,10,4,8
2,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,43.25735312942587,43.25735312942587,1,1,1,96,26,97,3,3,0,0,222,0,340,977,41,98,242,198,142,0.05662983425414365,34.0,14.2,collision_intent:98;dga_entry:142;state:100,0.1499999999999999,0.0489690721649485,known_visit_core_500,10,4,8
3,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,33.74228115475096,33.74228115475096,0,0,0,61,20,65,0,3,0,0,195,0,240,697,21,64,176,129,111,0.039923954372623575,24.0,11.1,collision_intent:64;dga_entry:111;state:65,0.10000000000000009,0.1576923076923078,known_visit_core_500,10,4,8
4,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,41.36789481729477,41.36789481729477,1,1,1,71,25,72,3,2,0,0,239,0,372,1061,53,74,298,149,223,0.05941704035874439,37.2,22.3,collision_intent:74;dga_entry:223;state:75,0.3999999999999999,0.25,known_visit_core_500,10,4,8
5,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,31.523646294709053,31.523646294709053,0,0,0,71,19,73,2,0,0,0,169,0,200,579,18,73,127,148,52,0.047619047619047616,20.0,5.2,collision_intent:73;dga_entry:52;state:75,0.25,0.044520547945205546,known_visit_core_500,10,4,8
6,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,33.53720726245403,33.53720726245403,0,0,0,68,20,72,0,0,0,0,185,0,229,656,28,71,158,143,86,0.059447983014861996,22.9,8.6,collision_intent:71;dga_entry:86;state:72,0.25,0.11805555555555558,known_visit_core_500,10,4,8
7,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,34.11096375534934,34.11096375534934,0,0,0,52,20,54,2,2,0,0,209,0,197,567,21,55,142,111,86,0.04964539007092199,19.7,8.6,collision_intent:55;dga_entry:86;state:56,0.30000000000000004,0.2685185185185186,known_visit_core_500,10,4,8
8,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,43.00270420793888,43.00270420793888,1,1,1,81,26,82,3,1,0,0,241,0,304,871,39,85,219,170,134,0.059541984732824425,30.4,13.4,collision_intent:85;dga_entry:134;state:85,0.10000000000000009,0.12195121951219523,known_visit_core_500,10,4,8
9,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,38.560454828028924,38.560454828028924,0,0,0,76,23,79,1,5,0,0,211,0,291,839,31,79,212,159,132,0.04897314375987362,29.1,13.2,collision_intent:79;dga_entry:132;state:80,0.1499999999999999,0.12341772151898733,known_visit_core_500,10,4,8
10,known_visit,DGA,gilbert_elliot,0.95,19,361,4,10,dga_gilbert_elliot_pGG_0_95_pBB_0_05,known_visit_g19_t10_n500.csv,10,True,42.65093621427548,42.65093621427548,2,2,2,97,25,86,15,7,2,2,223,0,375,1074,49,102,273,203,172,0.05997552019583843,37.5,17.2,collision_intent:102;dga_entry:172;state:101,0.25,0.12790697674418605,known_visit_core_500,10,4,8
