trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
10,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,5,85.0,72.2,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,16,9,"(15,8);(18,8);(14,18);(11,8)",04,14,18,"00:(0,0);01:(0,4);02:(0,9);03:(0,14);04:(0,18)","00:(16,9);01:(7,16);02:(12,13);03:(15,11);04:(10,13)",00:1;01:0;02:1;03:1;04:1,00,completed
11,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,5,85.0,72.2,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,16,5,"(0,1);(11,4);(1,12);(13,12)",01,11,4,"00:(0,0);01:(0,4);02:(0,9);03:(0,14);04:(0,18)","00:(10,0);01:(16,5);02:(15,1);03:(9,11);04:(14,12)",00:0;01:2;02:0;03:1;04:2,01,completed
12,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,5,85.0,72.2,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,6,10,"(7,17);(11,5);(5,10);(11,18)",02,5,10,"00:(0,0);01:(0,4);02:(0,9);03:(0,14);04:(0,18)","00:(5,2);01:(6,7);02:(6,10);03:(5,12);04:(5,16)",00:0;01:0;02:1;03:0;04:0,02,completed
13,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,5,85.0,72.2,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,10,10,"(2,5);(6,8);(11,12);(2,4)",01,2,4,"00:(0,0);01:(0,4);02:(0,9);03:(0,14);04:(0,18)","00:(7,9);01:(9,9);02:(10,10);03:(6,13);04:(9,4)",00:0;01:3;02:1;03:0;04:1,02,completed
14,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,5,85.0,72.2,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,5,2,"(5,5);(3,1);(8,4);(18,6)",01,8,4,"00:(0,0);01:(0,4);02:(0,9);03:(0,14);04:(0,18)","00:(7,6);01:(5,2);02:(11,3);03:(4,6);04:(9,16)",00:1;01:1;02:1;03:0;04:0,01,completed
15,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,5,85.0,72.2,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,12,15,"(13,13);(15,18);(15,14);(2,2)",04,15,18,"00:(0,0);01:(0,4);02:(0,9);03:(0,14);04:(0,18)","00:(15,13);01:(17,12);02:(12,15);03:(13,16);04:(9,13)",00:0;01:0;02:1;03:2;04:2,02,completed
16,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,5,85.0,72.2,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,6,14,"(5,12);(16,7);(3,13);(9,16)",,,,"00:(0,0);01:(0,4);02:(0,9);03:(0,14);04:(0,18)","00:(6,0);01:(5,4);02:(4,10);03:(6,14);04:(6,18)",00:0;01:0;02:0;03:0;04:0,03,completed
17,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,5,85.0,72.2,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,14,2,"(18,4);(11,9);(1,3);(11,7)",01,18,4,"00:(0,0);01:(0,4);02:(0,9);03:(0,14);04:(0,18)","00:(11,3);01:(18,5);02:(14,2);03:(12,9);04:(16,13)",00:0;01:1;02:0;03:1;04:0,02,completed
18,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,5,85.0,72.2,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,9,12,"(10,13);(7,5);(13,2);(18,13)",01,7,5,"00:(0,0);01:(0,4);02:(0,9);03:(0,14);04:(0,18)","00:(4,9);01:(12,6);02:(13,5);03:(7,8);04:(9,12)",00:1;01:1;02:0;03:0;04:1,04,completed
19,dcta_parity_v1,custom,2d78c6afcbcd65a18a1929ad87f91a1fc887754325485ab63fe3780cf2dd2c89,594c6ef4147d245b2d14387e5b1e6356d0a15a78178ccc9d5b7e58fddad8d2de,PI,bernoulli,drop_0.25,19,361,5,85.0,72.2,pi_g19_d85_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid19_trials50.csv,clue_search,7,11,"(10,9);(8,12);(14,6);(16,3)",,,,"00:(0,0);01:(0,4);02:(0,9);03:(0,14);04:(0,18)","00:(6,1);01:(6,5);02:(7,11);03:(6,15);04:(7,16)",00:0;01:0;02:0;03:0;04:0,02,completed
