trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
26,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(14,25);(5,4);(32,8);(33,26);(24,17);(11,21);(11,7);(10,4);(2,1);(20,3)",10,True,84.45118897631926,84.45118897631926,00:1;01:4;02:0;03:1;04:1;05:0;06:3;07:0;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(2,2);(32,8);(2,8);(11,7);(11,21);(2,21);(33,26);(2,29);(2,33)",1345,0,completed
27,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(15,17);(5,32);(24,32);(22,27);(2,14);(5,15);(32,12);(8,27);(25,24);(2,19)",10,True,63.945191728296855,63.945191728296855,00:0;01:0;02:0;03:2;04:2;05:1;06:1;07:1;08:3,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(2,0);(2,4);(2,10);(5,15);(32,12);(2,19);(8,27);(24,32);(25,24)",981,0,completed
28,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(2,6);(25,6);(29,4);(10,13);(23,2);(8,33);(16,32);(26,14);(25,17);(25,7)",10,True,66.07452569939878,66.07452569939878,00:4;01:0;02:1;03:2;04:1;05:0;06:0;07:2;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(29,4);(2,5);(9,6);(29,14);(25,17);(1,21);(2,25);(16,32);(2,33)",1005,0,completed
29,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,19);(10,33);(7,0);(1,33);(14,31);(4,1);(7,26);(14,5);(10,12);(11,32)",10,True,41.79539107725974,41.79539107725974,00:2;01:1;02:0;03:2;04:0;05:1;06:0;07:3;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(14,5);(4,1);(4,7);(18,19);(2,16);(7,28);(2,25);(14,31);(1,33)",626,0,completed
30,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(28,8);(23,15);(28,19);(29,4);(20,7);(12,22);(24,15);(31,25);(5,5);(16,22)",10,True,70.87792460184649,70.87792460184649,00:0;01:2;02:0;03:2;04:4;05:0;06:2;07:0;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(1,0);(20,7);(1,8);(29,4);(31,25);(2,21);(16,22);(1,29);(26,33)",1079,0,completed
31,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,2);(20,12);(17,22);(30,16);(28,19);(16,4);(21,16);(20,3);(29,9);(13,22)",10,True,66.39999427138324,66.39999427138324,00:2;01:2;02:0;03:2;04:0;05:2;06:2;07:0;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(20,3);(29,9);(2,8);(21,16);(1,16);(17,22);(30,16);(2,29);(1,33)",1000,0,completed
32,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(25,22);(19,16);(2,33);(17,21);(19,27);(24,25);(25,6);(21,15);(25,24);(15,28)",10,True,62.17984471060519,62.17984471060519,00:0;01:1;02:0;03:0;04:3;05:0;06:3;07:0;08:3,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(1,0);(25,6);(25,7);(1,12);(25,24);(1,21);(21,15);(2,29);(24,25)",907,0,completed
33,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(23,9);(4,26);(3,32);(30,6);(2,30);(28,32);(17,6);(19,11);(12,26);(32,17)",10,True,93.77632889895447,93.77632889895447,00:0;01:2;02:3;03:0;04:0;05:0;06:3;07:1;08:1,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(17,2);(19,11);(32,17);(3,12);(3,16);(4,22);(28,32);(2,30);(3,32)",1466,0,completed
34,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,6);(10,3);(14,22);(18,33);(24,22);(31,5);(18,6);(8,9);(25,33);(33,2)",10,True,80.78309277502821,80.78309277502821,00:1;01:2;02:1;03:2;04:0;05:3;06:1;07:0;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(10,3);(33,2);(9,9);(20,6);(1,16);(18,33);(24,22);(1,29);(1,33)",1228,0,completed
35,known_visit,PI,ideal,1.0,34,1156,9,10,pi_g34_d140_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(28,9);(30,28);(32,28);(18,24);(17,11);(2,10);(29,33);(11,11);(7,15);(32,5)",10,True,65.44260312739807,65.44260312739807,00:0;01:2;02:2;03:1;04:1;05:3;06:0;07:1;08:0,"(0,0);(0,4);(0,8);(0,12);(0,16);(0,21);(0,25);(0,29);(0,33)","(2,1);(17,11);(32,5);(2,10);(7,15);(32,28);(1,25);(29,33);(1,33)",981,0,completed
