trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,total_team_steps,steps_before_first_clue,post_clue_steps_to_find,unique_cells_searched,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,messages_sent_total,messages_delivered_total,messages_dropped_total,debug_max_events,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,post_clue_messages_sent_total,post_clue_allocation_messages_sent_total,message_drop_fraction,messages_per_unique_cell,messages_per_post_clue_step,allocation_messages_per_step,allocation_messages_per_post_clue_step,allocation_messages_per_unique_cell,messages_sent_by_topic,max_steps_any_robot,max_messages_any_robot,workload_gini_unique_cells_contributed
0,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
1,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,872,872,0,361,515,0,0,0,3982,6433,5512,,884,3098,1756,2226,0,0,0.5931346174539976,11.030470914127424,0.0,2.552752293577982,0.0,6.166204986149585,collision_intent:884;hipc_entry:2226;state:872,220,1024,0.13919667590027696
2,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,614,614,0,361,257,0,0,0,5117,7320,8028,,623,4494,1237,3880,0,0,0.5955931448920543,14.174515235457063,0.0,6.319218241042345,0.0,10.74792243767313,collision_intent:623;hipc_entry:3880;state:614,306,1429,0.48545706371191133
3,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,850,850,0,361,493,0,0,0,4670,7021,6989,,865,3805,1715,2955,0,0,0.6122645641699518,12.936288088642659,0.0,3.476470588235294,0.0,8.185595567867036,collision_intent:865;hipc_clear_bundle:1;hipc_entry:2954;state:850,268,1211,0.15581717451523547
4,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,1004,1004,0,361,647,0,0,0,4434,7283,6014,,1022,3412,2026,2408,0,0,0.5876490130936095,12.282548476454293,0.0,2.398406374501992,0.0,6.670360110803324,collision_intent:1022;hipc_clear_bundle:1;hipc_entry:2407;state:1004,255,1131,0.12119113573407203
5,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,951,951,0,361,594,0,0,0,4358,6838,6234,,971,3387,1922,2436,0,0,0.6136430751058175,12.07202216066482,0.0,2.5615141955835963,0.0,6.747922437673131,collision_intent:971;hipc_clear_bundle:1;hipc_entry:2435;state:951,240,1101,0.08933518005540164
6,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 6. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,,,,,,100000,,,,,,,,,,,,,,,,
7,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,620,620,0,361,263,0,0,0,5073,6951,8265,,627,4446,1247,3826,0,0,0.6197975253093363,14.052631578947368,0.0,6.170967741935484,0.0,10.598337950138504,collision_intent:627;hipc_entry:3826;state:620,309,1447,0.5020775623268698
8,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,927,927,0,361,570,0,0,0,4284,6759,6093,,958,3326,1885,2399,0,0,0.610643415514131,11.867036011080332,0.0,2.587918015102481,0.0,6.645429362880886,collision_intent:958;hipc_clear_bundle:3;hipc_entry:2396;state:927,234,1084,0.06994459833795008
9,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,826,826,0,361,469,0,0,0,4618,7023,6830,,851,3767,1677,2941,0,0,0.6044247787610619,12.79224376731302,0.0,3.5605326876513317,0.0,8.146814404432133,collision_intent:851;hipc_entry:2941;state:826,277,1261,0.29709141274238227
10,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,722,722,0,361,365,0,0,0,4762,6874,7409,,747,4015,1469,3293,0,0,0.6152632453080884,13.191135734072022,0.0,4.5609418282548475,0.0,9.121883656509695,collision_intent:747;hipc_entry:3293;state:722,287,1407,0.4175900277008311
11,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,860,860,0,361,503,0,0,0,3995,6262,5722,,876,3119,1736,2259,0,0,0.6115861479264643,11.066481994459833,0.0,2.6267441860465115,0.0,6.257617728531856,collision_intent:876;hipc_clear_bundle:3;hipc_entry:2256;state:860,218,1023,0.12950138504155118
12,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,368,368,0,361,11,0,0,0,4016,5159,6887,,374,3642,742,3274,0,0,0.6304467228121567,11.124653739612189,0.0,8.896739130434783,0.0,9.069252077562327,collision_intent:374;hipc_clear_bundle:1;hipc_entry:3273;state:368,352,1751,0.7112188365650969
13,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,899,899,0,361,542,0,0,0,4346,7018,6018,,919,3427,1818,2528,0,0,0.5854655122093589,12.038781163434903,0.0,2.8120133481646272,0.0,7.002770083102493,collision_intent:919;hipc_clear_bundle:1;hipc_entry:2527;state:899,243,1114,0.12257617728531867
14,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,591,591,0,361,234,0,0,0,4718,6886,7266,,600,4118,1191,3527,0,0,0.5882448186528497,13.069252077562327,0.0,5.967851099830796,0.0,9.770083102493075,collision_intent:600;hipc_entry:3527;state:591,282,1362,0.44252077562326875
15,HIPC,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,hipc_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,620,620,0,361,263,0,0,0,4347,6281,6759,,643,3704,1263,3084,0,0,0.6083160831608316,12.041551246537397,0.0,4.974193548387097,0.0,8.542936288088642,collision_intent:643;hipc_entry:3084;state:620,316,1584,0.6170360110803323
