trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status
0,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,00,136,0,87,50,0,0,0,426,138,288,274,152,0,collision_intent:138;dga_entry:152;state:136,1373,94,completed
0,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,01,135,0,110,26,0,0,0,484,139,345,274,210,0,collision_intent:139;dga_entry:210;state:135,1351,59,completed
0,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,02,130,0,82,49,0,0,0,532,137,395,267,265,0,collision_intent:137;dga_entry:265;state:130,1228,133,completed
0,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,03,133,0,82,52,0,0,0,452,144,308,277,175,0,collision_intent:144;dga_entry:175;state:133,1350,91,completed
1,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,00,130,0,112,19,0,0,0,381,131,250,261,120,0,collision_intent:131;dga_entry:120;state:130,1292,77,completed
1,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,01,124,0,76,49,0,0,0,488,129,359,253,235,0,collision_intent:129;dga_entry:235;state:124,1177,85,completed
1,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,02,123,0,66,58,0,0,0,439,131,308,254,185,0,collision_intent:131;dga_entry:185;state:123,1189,123,completed
1,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,03,129,0,107,23,0,0,0,443,129,314,258,185,0,collision_intent:129;dga_entry:185;state:129,1216,91,completed
2,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,00,136,0,87,50,0,0,0,535,144,391,280,255,0,collision_intent:144;dga_entry:255;state:136,1520,112,completed
2,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,01,139,0,58,82,0,0,0,616,147,469,286,330,0,collision_intent:147;dga_entry:330;state:139,1447,103,completed
2,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,02,142,0,115,28,0,0,0,483,147,336,289,194,0,collision_intent:147;dga_entry:194;state:142,1607,76,completed
2,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,03,140,0,101,40,0,0,0,533,143,390,283,250,0,collision_intent:143;dga_entry:250;state:140,1510,123,completed
3,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,00,134,0,112,23,0,0,0,510,136,374,270,240,0,collision_intent:136;dga_entry:240;state:134,1461,114,completed
3,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,01,128,0,80,49,0,0,0,503,135,368,263,240,0,collision_intent:135;dga_entry:240;state:128,1503,79,completed
3,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,02,132,0,61,72,0,0,0,574,137,437,269,305,0,collision_intent:137;dga_entry:305;state:132,1368,142,completed
3,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,03,135,0,108,28,0,0,0,499,139,360,274,225,0,collision_intent:139;dga_entry:225;state:135,1459,126,completed
4,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,00,134,0,89,46,0,0,0,440,136,304,270,170,0,collision_intent:136;dga_entry:170;state:134,1602,100,completed
4,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,01,131,0,103,29,0,0,0,611,140,471,271,340,0,collision_intent:140;dga_entry:340;state:131,1455,76,completed
4,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,02,129,0,75,55,0,0,0,543,139,404,268,275,0,collision_intent:139;dga_entry:275;state:129,1466,133,completed
4,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,03,133,0,94,40,0,0,0,549,136,413,269,280,0,collision_intent:136;dga_entry:280;state:133,1513,81,completed
5,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,00,135,0,80,56,0,0,0,459,139,320,274,185,0,collision_intent:139;dga_entry:185;state:135,1538,114,completed
5,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,01,132,0,90,43,0,0,0,607,140,467,272,335,0,collision_intent:140;dga_entry:335;state:132,1406,98,completed
5,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,02,136,0,102,35,0,0,0,532,141,391,277,255,0,collision_intent:141;dga_entry:255;state:136,1474,105,completed
5,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,03,137,0,89,49,0,0,0,514,142,372,279,235,0,collision_intent:142;dga_entry:235;state:137,1464,134,completed
6,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,00,43,0,44,0,0,0,0,177,44,133,87,90,0,collision_intent:44;dga_entry:90;state:43,1188,51,completed
6,DGA,gilbert_elliot,pGG_0.98_pBB_0.82,19,361,4,,,dga_gilbert_elliott_drop_0_10_rho_0_8,,coverage,01,44,0,31,14,0,0,0,221,47,174,91,130,0,collision_intent:47;dga_entry:130;state:44,1106,88,completed
