trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot
0,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
1,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,12);01:(18,13);02:(15,18);03:(13,15)",00:0;01:0;02:0;03:0,
2,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 2. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
3,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,15);01:(18,18);02:(11,15);03:(12,14)",00:0;01:0;02:0;03:0,
4,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(13,9);01:(13,8);02:(18,7);03:(18,10)",00:0;01:0;02:0;03:0,
5,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(10,4);01:(10,5);02:(18,18);03:(13,13)",00:0;01:0;02:0;03:0,
6,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,10);01:(11,11);02:(18,16);03:(12,18)",00:0;01:0;02:0;03:0,
7,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,11);01:(14,14);02:(17,5);03:(13,3)",00:0;01:0;02:0;03:0,
8,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,10);01:(18,18);02:(6,0);03:(11,7)",00:0;01:0;02:0;03:0,
9,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,17);01:(16,14);02:(17,6);03:(18,8)",00:0;01:0;02:0;03:0,
10,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(4,13);01:(8,9);02:(7,9);03:(7,8)",00:0;01:0;02:0;03:0,
11,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,7);01:(17,3);02:(16,7);03:(0,8)",00:0;01:0;02:0;03:0,
12,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,10);01:(18,7);02:(14,10);03:(2,8)",00:0;01:0;02:0;03:0,
13,DGA,gilbert_elliot,pGG_0.88_pBB_0.92,19,361,4,,,dga_gilbert_elliott_drop_0_60_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(14,7);02:(18,1);03:(12,14)",00:0;01:0;02:0;03:0,
