trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
278,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,5,2,0,6,0,0,0,0,0,16,12,4,146,0,known_visit_horizon,commitment_horizon,3,h3,10,4
278,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,30,3,0,30,1,0,0,0,0,67,61,6,96,0,known_visit_horizon,commitment_horizon,3,h3,10,4
278,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,12,2,0,13,0,5,0,0,0,36,26,10,126,0,known_visit_horizon,commitment_horizon,3,h3,10,4
279,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,1,0,0,2,0,0,0,0,0,10,4,6,133,0,known_visit_horizon,commitment_horizon,3,h3,10,4
279,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,11,2,0,12,0,0,0,0,0,37,24,13,106,0,known_visit_horizon,commitment_horizon,3,h3,10,4
279,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,17,5,0,18,0,1,0,0,0,50,35,15,94,0,known_visit_horizon,commitment_horizon,3,h3,10,4
279,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,17,3,0,18,0,2,0,0,0,47,35,12,96,0,known_visit_horizon,commitment_horizon,3,h3,10,4
280,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,22,3,0,23,0,0,0,0,0,52,45,7,105,0,known_visit_horizon,commitment_horizon,3,h3,10,4
280,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,2,1,0,3,0,0,0,0,0,8,6,2,148,0,known_visit_horizon,commitment_horizon,3,h3,10,4
280,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,13,2,0,14,0,0,0,0,0,40,28,12,116,0,known_visit_horizon,commitment_horizon,3,h3,10,4
280,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,20,4,0,21,0,2,0,0,0,57,42,15,99,0,known_visit_horizon,commitment_horizon,3,h3,10,4
281,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,9,3,0,10,0,0,0,0,0,37,21,16,121,0,known_visit_horizon,commitment_horizon,3,h3,10,4
281,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,3,1,0,4,0,0,0,0,0,17,8,9,141,0,known_visit_horizon,commitment_horizon,3,h3,10,4
281,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,20,3,0,21,0,1,0,0,0,53,42,11,105,0,known_visit_horizon,commitment_horizon,3,h3,10,4
281,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,21,3,0,22,0,2,0,0,0,52,43,9,107,0,known_visit_horizon,commitment_horizon,3,h3,10,4
282,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,17,3,0,18,0,0,0,0,0,44,36,8,109,0,known_visit_horizon,commitment_horizon,3,h3,10,4
282,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,9,1,0,10,0,1,0,0,0,30,20,10,123,0,known_visit_horizon,commitment_horizon,3,h3,10,4
282,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,5,2,0,6,0,0,0,0,0,16,12,4,137,0,known_visit_horizon,commitment_horizon,3,h3,10,4
282,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,03,22,4,0,23,0,0,0,0,0,64,46,18,90,0,known_visit_horizon,commitment_horizon,3,h3,10,4
283,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,00,8,2,0,9,0,0,0,0,0,28,18,10,129,0,known_visit_horizon,commitment_horizon,3,h3,10,4
283,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,01,21,4,0,22,0,1,0,0,0,54,44,10,103,0,known_visit_horizon,commitment_horizon,3,h3,10,4
283,known_visit,HIPC,ideal,1.0,19,361,4,10,hipc_h3_ideal,known_visit_10target_300.csv,02,5,1,0,6,0,0,0,0,0,17,12,5,140,0,known_visit_horizon,commitment_horizon,3,h3,10,4
