trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
15,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,0);(3,20);(11,15);(12,22);(12,12);(7,23);(15,0);(19,18);(23,16);(20,8)",10,True,54.29519822899518,54.29519822899518,00:2;01:1;02:2;03:1;04:4,"(0,0);(0,6);(0,12);(0,18);(0,24)","(15,17);(21,8);(12,0);(14,12);(23,16)",354,0,completed
16,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(19,8);(6,17);(5,12);(12,11);(18,17);(3,18);(16,16);(13,21);(11,3);(14,9)",10,True,38.16486758675257,38.16486758675257,00:2;01:2;02:2;03:3;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(12,11);(19,8);(16,17);(19,17);(13,21)",253,0,completed
17,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,11);(4,12);(1,15);(8,10);(1,13);(22,23);(10,12);(23,16);(17,15);(17,5)",10,True,56.55121198897263,56.55121198897263,00:0;01:3;02:3;03:2;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(2,15);(17,5);(17,11);(22,20);(23,16)",386,0,completed
18,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(10,17);(24,20);(14,15);(22,23);(3,21);(17,20);(20,6);(12,10);(2,20);(16,8)",10,True,51.357693986621676,51.357693986621676,00:1;01:2;02:2;03:3;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(16,6);(21,6);(14,13);(17,12);(24,20)",339,0,completed
19,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,6);(17,8);(17,17);(20,16);(21,13);(7,17);(2,5);(24,5);(20,4);(4,24)",10,True,54.182979985611496,54.182979985611496,00:1;01:3;02:1;03:2;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(18,13);(24,5);(17,8);(6,19);(21,13)",353,0,completed
20,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(24,7);(10,3);(21,19);(8,3);(12,12);(22,21);(22,4);(16,12);(19,12);(13,14)",10,True,48.75989302589969,48.75989302589969,00:2;01:2;02:3;03:1;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(21,3);(24,7);(19,12);(15,11);(20,19)",324,0,completed
21,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(1,6);(8,14);(14,12);(21,0);(2,0);(23,6);(6,20);(1,3);(6,1);(16,19)",10,True,80.5274377499064,80.5274377499064,00:2;01:3;02:3;03:1;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(14,12);(23,0);(23,6);(8,12);(2,0)",598,0,completed
22,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,24);(13,19);(22,5);(17,23);(18,16);(6,6);(23,8);(12,8);(11,11);(1,5)",10,True,50.377575564488524,50.377575564488524,00:1;01:3;02:2;03:2;04:2,"(0,0);(0,6);(0,12);(0,18);(0,24)","(11,18);(21,8);(18,16);(17,23);(13,19)",328,0,completed
23,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,9);(17,17);(21,11);(24,6);(7,15);(15,9);(18,0);(13,12);(12,23);(3,13)",10,True,66.94016125220945,66.94016125220945,00:2;01:1;02:3;03:3;04:1,"(0,0);(0,6);(0,12);(0,18);(0,24)","(19,9);(10,15);(15,9);(21,11);(7,9)",470,0,completed
24,known_visit,ACBBA,bernoulli,drop_0.25,25,625,5,10,acbba_g25_d140_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(19,14);(14,3);(19,23);(22,23);(6,15);(18,24);(20,16);(2,16);(9,4);(4,16)",10,True,55.55755677908863,55.55755677908863,00:2;01:1;02:2;03:2;04:3,"(0,0);(0,6);(0,12);(0,18);(0,24)","(19,14);(10,4);(21,21);(15,3);(20,16)",360,0,completed
