trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,trial_status,failure_type,failure_message,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot
0,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 0. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
1,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(18,17);03:(16,17)",00:0;01:0;02:0;03:0,
2,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 2. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
3,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,5);01:(10,8);02:(3,5);03:(4,5)",00:0;01:0;02:0;03:0,
4,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 4. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
5,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(18,16);03:(18,17)",00:0;01:0;02:0;03:0,
6,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 6. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
7,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,4);01:(17,18);02:(1,5);03:(17,16)",00:0;01:0;02:0;03:0,
8,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,11);01:(8,11);02:(5,2);03:(9,12)",00:0;01:0;02:0;03:0,
9,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(12,18);03:(18,17)",00:0;01:0;02:0;03:0,
10,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(6,8);01:(18,18);02:(13,11);03:(7,8)",00:0;01:0;02:0;03:0,
11,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(1,7);01:(1,6);02:(18,14);03:(18,15)",00:0;01:0;02:0;03:0,
12,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,9);01:(8,5);02:(18,18);03:(8,6)",00:0;01:0;02:0;03:0,
13,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(7,15);02:(13,16);03:(18,2)",00:0;01:0;02:0;03:0,
14,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(2,11);01:(17,14);02:(2,12);03:(18,10)",00:0;01:0;02:0;03:0,
15,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(5,16);01:(18,0);02:(7,4);03:(5,15)",00:0;01:0;02:0;03:0,
16,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 16. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
17,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(7,7);01:(7,4);02:(18,18);03:(7,3)",00:0;01:0;02:0;03:0,
18,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(18,16);03:(18,15)",00:0;01:0;02:0;03:0,
19,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,3);01:(0,4);02:(17,18);03:(18,4)",00:0;01:0;02:0;03:0,
20,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,6);01:(17,15);02:(18,18);03:(9,7)",00:0;01:0;02:0;03:0,
21,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(0,2);01:(0,3);02:(18,0);03:(1,0)",00:0;01:0;02:0;03:0,
22,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,18);01:(5,17);02:(17,17);03:(4,17)",00:0;01:0;02:0;03:0,
23,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,failed,RuntimeError,Debug safety cap reached in trial 23. This usually means the allocator is stuck or returning no reachable goals.,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,
24,HIPC,gilbert_elliot,pGG_0.86_pBB_0.94,19,361,4,,,hipc_gilbert_elliott_drop_0_70_rho_0_8,,coverage,completed,,,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,14);01:(18,2);02:(16,15);03:(8,5)",00:0;01:0;02:0;03:0,
