trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,2);(11,22);(9,9);(21,1);(14,2);(7,9);(21,24);(11,3);(3,18);(22,18)",10,True,51.21474706313412,51.21474706313412,00:3;01:1;02:0;03:0;04:0;05:2;06:0;07:1;08:0;09:1;10:0;11:1;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(21,1);(15,4);(5,8);(14,2);(13,12);(6,6);(12,11);(22,18);(16,13);(8,18);(3,17);(11,22);(13,22)",1021,0,completed
1,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,0);(22,23);(6,15);(23,23);(7,4);(12,6);(14,19);(20,4);(3,15);(10,16)",10,True,73.309577561042,73.309577561042,00:1;01:1;02:0;03:2;04:0;05:0;06:2;07:0;08:0;09:2;10:0;11:2;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(5,0);(10,4);(20,10);(20,4);(10,8);(4,10);(10,16);(3,15);(22,19);(7,5);(20,20);(23,23);(20,11)",1531,0,completed
2,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(17,10);(15,0);(16,1);(21,23);(11,7);(1,11);(6,14);(8,0);(15,22);(24,6)",10,True,48.443960681171724,48.443960681171724,00:3;01:1;02:0;03:1;04:0;05:0;06:2;07:0;08:1;09:0;10:0;11:1;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(16,1);(24,6);(22,6);(15,0);(8,0);(16,9);(21,8);(15,22);(6,14);(10,14);(17,21);(15,18);(21,22)",903,0,completed
3,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(14,2);(4,19);(6,15);(23,19);(22,10);(2,14);(17,16);(1,11);(9,14);(7,8)",10,True,52.49211648102096,52.49211648102096,00:0;01:0;02:0;03:2;04:1;05:0;06:0;07:3;08:2;09:0;10:2;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(13,6);(1,10);(14,16);(14,2);(7,8);(7,10);(12,9);(17,16);(22,10);(1,18);(23,19);(6,18);(6,17)",1060,0,completed
4,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,13);(21,0);(16,9);(18,18);(20,1);(12,21);(8,20);(24,6);(20,12);(2,6)",10,True,41.306758586194,41.306758586194,00:0;01:0;02:2;03:2;04:1;05:0;06:1;07:1;08:0;09:1;10:2;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(2,13);(16,2);(21,0);(24,6);(23,9);(3,12);(16,11);(21,12);(12,16);(15,21);(16,18);(8,19);(11,24)",765,0,completed
5,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,1);(2,6);(5,21);(7,2);(1,8);(16,3);(21,4);(24,20);(13,23);(5,6)",10,True,68.01801812999045,68.01801812999045,00:0;01:2;02:1;03:3;04:1;05:0;06:0;07:1;08:0;09:0;10:1;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(12,19);(12,1);(21,3);(21,4);(5,6);(6,10);(5,20);(24,20);(11,21);(7,2);(2,6);(7,16);(5,8)",1375,0,completed
6,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,9);(24,15);(3,8);(9,8);(8,0);(24,20);(10,3);(13,9);(12,24);(11,14)",10,True,81.62099797547263,81.62099797547263,00:2;01:1;02:0;03:0;04:3;05:1;06:0;07:1;08:0;09:0;10:0;11:1;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(8,11);(9,8);(5,9);(23,12);(10,3);(24,15);(10,8);(21,15);(10,16);(15,4);(20,20);(24,20);(21,24)",1691,0,completed
7,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,17);(9,16);(9,18);(24,1);(21,18);(9,19);(2,19);(14,19);(14,22);(2,6)",10,True,41.44919735594129,41.44919735594129,00:0;01:1;02:0;03:1;04:0;05:0;06:0;07:0;08:1;09:2;10:4;11:0;12:1,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(24,0);(24,1);(9,17);(10,18);(1,13);(5,10);(9,22);(4,22);(4,6);(14,19);(21,18);(8,16);(14,22)",775,0,completed
8,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,11);(22,0);(10,0);(12,12);(22,15);(7,8);(12,17);(5,8);(20,13);(11,13)",10,True,60.29867902909459,60.29867902909459,00:2;01:0;02:0;03:2;04:4;05:1;06:0;07:0;08:0;09:0;10:1;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(22,0);(12,8);(22,1);(22,15);(8,10);(14,12);(10,13);(12,17);(16,11);(10,18);(14,15);(15,22);(9,20)",1242,0,completed
9,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,13);(0,15);(8,21);(12,5);(6,20);(1,10);(15,19);(2,11);(24,1);(15,2)",10,True,53.39881840686926,53.39881840686926,00:2;01:1;02:0;03:0;04:0;05:2;06:0;07:1;08:0;09:1;10:0;11:1;12:2,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(24,1);(12,7);(24,4);(4,6);(8,9);(10,13);(4,15);(8,5);(12,17);(16,16);(8,22);(15,19);(12,13)",1064,0,completed
10,known_visit,PI,bernoulli,drop_0.25,25,625,13,10,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(7,19);(19,17);(5,6);(15,7);(18,8);(10,8);(22,4);(18,0);(16,19);(4,13)",10,True,46.85638408860567,46.85638408860567,00:2;01:0;02:0;03:2;04:1;05:1;06:1;07:0;08:0;09:3;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(22,4);(18,0);(19,7);(7,8);(7,19);(20,7);(11,9);(15,11);(19,16);(19,17);(16,18);(18,20);(5,10)",858,0,completed
