trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status,failure_type,failure_message
0,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(13,14);01:(13,15);02:(13,16);03:(18,14)",00:0;01:0;02:0;03:0,,completed,,
1,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(7,1);01:(7,3);02:(7,2);03:(18,13)",00:0;01:0;02:0;03:0,,completed,,
2,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,,failed,RuntimeError,Debug safety cap reached in trial 2. This usually means the allocator is stuck or returning no reachable goals.
3,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,18);01:(16,18);02:(14,18);03:(14,17)",00:0;01:0;02:0;03:0,,completed,,
4,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(10,2);01:(16,8);02:(12,6);03:(18,18)",00:0;01:0;02:0;03:0,,completed,,
5,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(16,8);01:(16,9);02:(17,11);03:(17,8)",00:0;01:0;02:0;03:0,,completed,,
6,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(15,9);01:(18,18);02:(17,0);03:(16,5)",00:0;01:0;02:0;03:0,,completed,,
7,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(9,6);01:(18,18);02:(17,10);03:(15,12)",00:0;01:0;02:0;03:0,,completed,,
8,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,13);01:(17,11);02:(17,15);03:(16,2)",00:0;01:0;02:0;03:0,,completed,,
9,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,,failed,RuntimeError,Debug safety cap reached in trial 9. This usually means the allocator is stuck or returning no reachable goals.
10,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(12,0);01:(18,18);02:(18,14);03:(15,14)",00:0;01:0;02:0;03:0,,completed,,
11,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,12);01:(18,8);02:(14,12);03:(18,7)",00:0;01:0;02:0;03:0,,completed,,
12,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,2);01:(17,17);02:(17,18);03:(17,16)",00:0;01:0;02:0;03:0,,completed,,
13,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)",,,,failed,RuntimeError,Debug safety cap reached in trial 13. This usually means the allocator is stuck or returning no reachable goals.
14,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(17,17);01:(15,13);02:(11,18);03:(18,15)",00:0;01:0;02:0;03:0,,completed,,
15,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,5);01:(15,15);02:(18,6);03:(17,5)",00:0;01:0;02:0;03:0,,completed,,
16,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(14,6);01:(14,5);02:(15,15);03:(12,15)",00:0;01:0;02:0;03:0,,completed,,
17,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(14,18);01:(1,9);02:(1,10);03:(2,10)",00:0;01:0;02:0;03:0,,completed,,
18,DGA,gilbert_elliot,pGG_0.9_pBB_0.9,19,361,4,,,dga_gilbert_elliott_drop_0_50_rho_0_8,,coverage,,,,,,,"00:(0,0);01:(0,6);02:(0,12);03:(0,18)","00:(18,14);01:(12,18);02:(12,16);03:(12,17)",00:0;01:0;02:0;03:0,,completed,,
