trial_id,logic_revision,study_profile,scenario_file_sha256,scenario_selection_sha256,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,target_x,target_y,clue_locations,first_clue_robot,first_clue_x,first_clue_y,robot_start_locations,robot_end_locations,clues_detected_by_robot,target_found_by_robot,trial_status
10,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,18,13,"(14,23);(19,13);(22,9);(13,10)",05,13,10,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(15,14);01:(8,13);02:(14,13);03:(8,18);04:(18,15);05:(19,10);06:(14,15);07:(18,13);08:(7,9);09:(14,21);10:(16,21);11:(4,19);12:(17,23)",00:0;01:0;02:0;03:0;04:1;05:1;06:0;07:1;08:0;09:0;10:1;11:0;12:0,07,completed
11,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,18,10,"(15,19);(15,10);(18,9);(12,7)",05,15,10,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(18,7);01:(11,8);02:(13,12);03:(18,10);04:(14,9);05:(13,16);06:(15,6);07:(19,11);08:(11,10);09:(8,19);10:(19,12);11:(18,20);12:(17,18)",00:0;01:1;02:0;03:1;04:0;05:1;06:0;07:0;08:0;09:1;10:1;11:0;12:0,03,completed
12,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,14,19,"(15,17);(6,20);(15,5);(7,18)",10,6,20,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(3,18);01:(2,3);02:(6,16);03:(11,24);04:(14,19);05:(9,23);06:(6,21);07:(6,24);08:(11,10);09:(8,13);10:(1,16);11:(4,22);12:(9,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:1;07:0;08:2;09:1;10:1;11:1;12:0,04,completed
13,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,4,15,"(10,6);(3,12);(6,22);(7,17)",06,3,12,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(3,1);01:(3,3);02:(3,5);03:(5,6);04:(4,8);05:(3,11);06:(4,12);07:(3,13);08:(4,15);09:(5,18);10:(4,19);11:(3,21);12:(3,23)",00:0;01:0;02:0;03:0;04:0;05:0;06:1;07:0;08:0;09:0;10:0;11:0;12:0,08,completed
14,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,1,10,"(4,8);(2,12);(6,8);(20,8)",,,,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(0,0);01:(1,2);02:(1,4);03:(1,6);04:(1,8);05:(1,10);06:(1,12);07:(0,14);08:(1,16);09:(0,18);10:(1,20);11:(0,22);12:(0,24)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,05,completed
15,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,23,1,"(7,8);(18,17);(10,7);(18,11)",04,7,8,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(9,19);01:(23,2);02:(22,4);03:(22,24);04:(21,19);05:(8,21);06:(13,18);07:(23,1);08:(23,21);09:(19,22);10:(20,21);11:(18,23);12:(13,17)",00:1;01:0;02:1;03:0;04:2;05:0;06:2;07:1;08:1;09:1;10:0;11:0;12:0,07,completed
16,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,9,3,"(9,2);(4,7);(7,5);(14,3)",01,9,2,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(9,1);01:(9,3);02:(9,4);03:(10,6);04:(10,8);05:(10,10);06:(9,11);07:(9,13);08:(9,15);09:(9,18);10:(9,20);11:(9,21);12:(8,23)",00:0;01:1;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,01,completed
17,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,1,19,"(15,11);(21,18);(8,16);(8,19)",08,8,16,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(11,9);01:(9,15);02:(10,17);03:(4,14);04:(10,20);05:(8,15);06:(10,24);07:(13,20);08:(14,16);09:(1,19);10:(14,19);11:(12,23);12:(9,12)",00:0;01:0;02:1;03:0;04:0;05:0;06:0;07:0;08:1;09:0;10:2;11:0;12:1,09,completed
18,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,24,21,"(20,14);(16,11);(24,20);(24,24)",07,20,14,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(11,11);01:(24,6);02:(22,12);03:(16,14);04:(15,15);05:(16,7);06:(24,17);07:(12,12);08:(17,22);09:(24,9);10:(16,17);11:(13,13);12:(24,21)",00:0;01:0;02:0;03:0;04:1;05:0;06:0;07:1;08:0;09:0;10:1;11:1;12:1,12,completed
19,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,16,4,"(16,6);(5,6);(4,3);(17,9)",03,5,6,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(16,4);01:(3,14);02:(11,4);03:(14,4);04:(10,9);05:(14,2);06:(12,4);07:(0,5);08:(12,2);09:(10,7);10:(13,8);11:(5,17);12:(7,17)",00:0;01:0;02:1;03:1;04:1;05:0;06:0;07:0;08:1;09:0;10:0;11:0;12:0,00,completed
20,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,7,23,"(7,24);(10,19);(11,23);(9,1)",12,7,24,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(7,0);01:(5,3);02:(6,5);03:(5,7);04:(6,9);05:(7,12);06:(7,15);07:(6,15);08:(9,17);09:(7,19);10:(8,21);11:(7,23);12:(9,23)",00:0;01:0;02:0;03:0;04:0;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:1,11,completed
21,dcta_parity_v1,custom,0690372b5c8441436ded53746c6b370f1aa18ebb7a7f2c9268e393591b984742,7dc2228f3c50b39b18dcc2d6aa0e782f452a5e52aac7edce7bf586c910277b48,PI,bernoulli,drop_0.25,25,625,13,50.0,48.076923,pi_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\clips\scaling_grid25_trials50.csv,clue_search,3,11,"(8,9);(3,8);(12,11);(1,13)",04,3,8,"00:(0,0);01:(0,2);02:(0,4);03:(0,6);04:(0,8);05:(0,10);06:(0,12);07:(0,14);08:(0,16);09:(0,18);10:(0,20);11:(0,22);12:(0,24)","00:(4,0);01:(4,2);02:(3,5);03:(3,6);04:(3,8);05:(3,10);06:(3,11);07:(4,14);08:(4,16);09:(3,17);10:(2,19);11:(3,21);12:(2,23)",00:0;01:0;02:0;03:0;04:1;05:0;06:0;07:0;08:0;09:0;10:0;11:0;12:0,06,completed
