trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,174.60725245349462,174.60725245349462,5,5,5,99,32,92,11,0,141,2,1121,3,398,510,684,105,293,208,190,0.7781569965870307,39.8,19.0,collision_intent:105;hipc_entry:190;state:103,0.30000000000000004,0.20108695652173902,known_visit_core_500,10,4,8
1,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,48.45420302113348,48.45420302113348,2,2,2,69,28,62,11,2,0,0,302,0,234,344,358,73,161,146,88,0.7412008281573499,23.4,8.8,collision_intent:73;hipc_entry:88;state:73,0.6499999999999999,0.3306451612903225,known_visit_core_500,10,4,8
2,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,49.501463829873,49.501463829873,2,2,2,96,29,91,9,2,3,2,276,0,287,419,441,101,186,201,86,0.7917414721723519,28.7,8.6,collision_intent:101;hipc_entry:86;state:100,0.44999999999999996,0.16208791208791218,known_visit_core_500,10,4,8
3,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,50.652453497258485,50.652453497258485,3,3,3,82,28,80,6,0,0,0,298,0,272,382,434,87,185,173,99,0.781981981981982,27.2,9.9,collision_intent:87;hipc_entry:99;state:86,0.3999999999999999,0.17500000000000004,known_visit_core_500,10,4,8
4,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,72.2452730510975,72.2452730510975,3,3,3,87,39,85,6,5,0,0,469,0,301,426,477,93,208,184,117,0.7644230769230769,30.1,11.7,collision_intent:93;hipc_entry:117;state:91,0.75,0.3323529411764705,known_visit_core_500,10,4,8
5,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,50.406817583733584,50.406817583733584,4,4,4,84,30,76,12,1,1,1,300,0,239,344,372,88,151,176,63,0.8230088495575221,23.9,6.3,collision_intent:88;hipc_entry:63;state:88,0.44999999999999996,0.2171052631578947,known_visit_core_500,10,4,8
6,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,63.75131733873792,63.75131733873792,0,0,0,61,37,60,5,2,44,2,393,0,217,277,374,66,151,131,86,0.82560706401766,21.7,8.6,collision_intent:66;hipc_entry:86;state:65,0.25,0.44166666666666665,known_visit_core_500,10,4,8
7,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,40.86656806812146,40.86656806812146,1,1,1,65,24,67,2,2,0,0,250,0,200,281,319,69,131,138,62,0.811704834605598,20.0,6.2,collision_intent:69;hipc_entry:62;state:69,0.30000000000000004,0.2201492537313432,known_visit_core_500,10,4,8
8,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,73.41247709228657,73.41247709228657,0,0,0,61,42,65,0,0,0,0,513,0,191,231,342,65,126,130,61,0.9047619047619048,19.1,6.1,collision_intent:65;hipc_entry:61;state:65,0.5,0.5038461538461538,known_visit_core_500,10,4,8
9,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,69.03492546013925,69.03492546013925,3,3,3,110,40,100,14,2,21,1,376,0,326,459,519,113,213,227,99,0.812206572769953,32.6,9.9,collision_intent:113;hipc_entry:99;state:114,0.5,0.2250000000000001,known_visit_core_500,10,4,8
10,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,61.93503375522167,61.93503375522167,2,2,2,73,36,73,4,0,0,0,401,0,224,307,365,75,149,152,72,0.8165548098434005,22.4,7.2,collision_intent:75;hipc_entry:72;state:77,0.55,0.40068493150684925,known_visit_core_500,10,4,8
11,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,40.9705297054293,40.9705297054293,0,0,0,63,24,67,0,2,0,0,250,0,201,256,347,66,135,133,68,0.8567901234567902,20.1,6.8,collision_intent:66;hipc_entry:68;state:67,0.25,0.2350746268656716,known_visit_core_500,10,4,8
12,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,80.94578449498927,80.94578449498927,2,2,2,94,47,88,10,3,72,1,450,0,377,493,638,99,278,197,180,0.7649880095923262,37.7,18.0,collision_intent:99;hipc_entry:180;state:98,0.44999999999999996,0.3920454545454546,known_visit_core_500,10,4,8
13,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,42.33274475792616,42.33274475792616,2,2,2,68,25,68,4,2,0,0,254,0,249,296,451,71,178,143,106,0.8445692883895131,24.9,10.6,collision_intent:71;hipc_entry:106;state:72,0.3999999999999999,0.24264705882352944,known_visit_core_500,10,4,8
14,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,40.32100526309033,40.32100526309033,2,2,2,76,24,77,3,3,0,0,226,0,245,318,417,80,165,160,85,0.8424242424242424,24.5,8.5,collision_intent:80;hipc_entry:85;state:80,0.25,0.1331168831168832,known_visit_core_500,10,4,8
15,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,49.812475380572515,49.812475380572515,0,0,0,85,29,86,3,4,1,1,288,0,271,384,429,87,184,176,95,0.7771739130434783,27.1,9.5,collision_intent:87;hipc_entry:95;state:89,0.25,0.21511627906976738,known_visit_core_500,10,4,8
16,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,71.76806938486425,71.76806938486425,7,7,7,105,42,91,18,0,5,5,439,0,299,428,469,111,188,220,79,0.8315602836879432,29.9,7.9,collision_intent:111;hipc_entry:79;state:109,0.25,0.28296703296703307,known_visit_core_500,10,4,8
17,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,76.27581543841117,76.27581543841117,2,2,2,85,38,84,5,2,48,1,459,0,298,361,533,90,208,179,119,0.8541666666666666,29.8,11.9,collision_intent:90;hipc_entry:119;state:89,0.44999999999999996,0.25595238095238093,known_visit_core_500,10,4,8
18,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,288.78689555719876,288.78689555719876,15,15,15,169,68,126,47,4,292,4,1786,4,725,972,1203,180,545,353,372,0.7357798165137615,72.5,37.2,collision_intent:180;hipc_entry:372;state:173,0.25,0.25,known_visit_core_500,10,4,8
19,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,42.95298176135667,42.95298176135667,3,3,3,79,25,78,5,5,0,0,245,0,295,371,513,84,211,167,128,0.8117088607594937,29.5,12.8,collision_intent:84;hipc_entry:128;state:83,0.30000000000000004,0.14102564102564097,known_visit_core_500,10,4,8
20,known_visit,HIPC,rayleigh_style,-32.58,19,361,4,10,hipc_rayleigh_style_sens_neg32_58,known_visit_g19_t10_n500.csv,10,True,30.81402508497349,30.81402508497349,0,0,0,68,18,70,2,2,3,3,167,0,247,302,439,73,174,145,102,0.8409961685823755,24.7,10.2,collision_intent:73;hipc_entry:102;state:72,0.3500000000000001,0.03571428571428581,known_visit_core_500,10,4,8
