trial_id,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_cells_per_robot,actual_cells_per_robot,condition_id,scenario_file,trial_mode,robot_id,steps_total,steps_after_first_clue,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,messages_sent,protected_messages_sent,unprotected_messages_sent,core_messages_sent,allocation_messages_sent,post_clue_messages_sent,messages_sent_by_topic,messages_delivered_to_robot,messages_dropped_to_robot,trial_status,failure_type,failure_message
0,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,00,118,0,97,22,0,0,0,238,120,118,238,0,0,collision_intent:120;state:118,648,53,completed,,
0,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,01,116,0,63,54,0,0,0,233,117,116,233,0,0,collision_intent:117;state:116,541,164,completed,,
0,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,02,116,0,97,20,0,0,0,234,118,116,234,0,0,collision_intent:118;state:116,617,87,completed,,
0,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,03,117,0,104,14,0,0,0,234,117,117,234,0,0,collision_intent:117;state:117,621,84,completed,,
1,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,00,158,0,139,20,0,0,0,316,158,158,316,0,0,collision_intent:158;state:158,829,96,completed,,
1,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,01,152,0,82,71,0,0,0,307,155,152,307,0,0,collision_intent:155;state:152,763,170,completed,,
1,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,02,155,0,98,58,0,0,0,310,155,155,310,0,0,collision_intent:155;state:155,771,159,completed,,
1,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,03,153,0,42,112,0,0,0,308,155,153,308,0,0,collision_intent:155;state:153,767,166,completed,,
2,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,00,135,0,85,51,0,0,0,272,137,135,272,0,0,collision_intent:137;state:135,660,95,completed,,
2,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,01,120,0,95,26,0,0,0,244,124,120,244,0,0,collision_intent:124;state:120,672,111,completed,,
2,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,02,134,0,96,39,0,0,0,269,135,134,269,0,0,collision_intent:135;state:134,661,98,completed,,
2,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,03,119,0,85,35,0,0,0,243,124,119,243,0,0,collision_intent:124;state:119,636,149,completed,,
3,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,00,156,0,114,43,0,0,0,313,157,156,313,0,0,collision_intent:157;state:156,749,177,completed,,
3,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,01,154,0,80,75,0,0,0,309,155,154,309,0,0,collision_intent:155;state:154,782,148,completed,,
3,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,02,154,0,114,41,0,0,0,308,154,154,308,0,0,collision_intent:154;state:154,867,65,completed,,
3,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,03,155,0,53,103,0,0,0,310,155,155,310,0,0,collision_intent:155;state:155,762,167,completed,,
4,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,00,189,0,98,92,0,0,0,379,190,189,379,0,0,collision_intent:190;state:189,961,190,completed,,
4,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,01,187,0,54,134,0,0,0,377,190,187,377,0,0,collision_intent:190;state:187,943,210,completed,,
4,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,02,194,0,98,97,0,0,0,388,194,194,388,0,0,collision_intent:194;state:194,975,167,completed,,
4,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,03,193,0,111,83,0,0,0,386,193,193,386,0,0,collision_intent:193;state:193,891,252,completed,,
5,DMCHBA,gilbert_elliot,pGG_0.94_pBB_0.86,19,361,4,,,dmchba_gilbert_elliott_drop_0_30_rho_0_8,,coverage,00,137,0,121,17,0,0,0,274,137,137,274,0,0,collision_intent:137;state:137,732,92,completed,,
