trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status
0,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,60.946357173877416,60.946357173877416,0,0,0,65,35,67,0,0,0,0,0,0.0,0,161,0,152,151,0,66,86,133,19,0.0,15.2,1.9,collision_intent:66;hipc_clear_bundle:1;hipc_entry:18;state:67,0.10000000000000009,0.03731343283582089,34,10.0861,1.0364,5.5209,0.7219,34,4.5652,0.3145,completed
1,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,54.187728968428345,54.187728968428345,0,0,0,50,32,52,0,0,0,0,0,0.0,0,154,0,125,124,0,52,73,104,21,0.0,12.5,2.1,collision_intent:52;hipc_clear_bundle:1;hipc_entry:20;state:52,0.10000000000000009,0.13461538461538458,64,21.8661,0.8341,10.0563,0.5841,64,11.8098,0.2731,completed
2,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,54.59421825327018,54.59421825327018,0,0,0,56,32,58,0,0,0,0,0,0.0,0,149,0,138,137,0,57,81,115,23,0.0,13.8,2.3,collision_intent:57;hipc_clear_bundle:1;hipc_entry:22;state:58,0.0,0.06896551724137923,42,15.5452,0.8413,7.9652,0.5498,42,7.58,0.2915,completed
3,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,66.8143774110267,66.8143774110267,0,0,0,67,39,69,0,0,0,0,0,0.0,0,182,0,158,157,0,68,90,137,21,0.0,15.8,2.1,collision_intent:68;hipc_clear_bundle:1;hipc_entry:20;state:69,0.0,0.07971014492753614,54,13.3595,0.5584,6.2291,0.3855,54,7.1304,0.2473,completed
4,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,53.00583305735956,53.00583305735956,0,0,0,50,31,52,0,0,0,0,0,0.0,0,150,0,125,124,0,52,73,104,21,0.0,12.5,2.1,collision_intent:52;hipc_clear_bundle:1;hipc_entry:20;state:52,0.10000000000000009,0.11538461538461542,55,17.4519,0.9525,8.2033,0.711,55,9.2486,0.2783,completed
5,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,56.41124572493644,56.41124572493644,0,0,0,59,33,61,0,0,0,0,0,0.0,0,151,0,140,139,0,60,80,121,19,0.0,14.0,1.9,collision_intent:60;hipc_clear_bundle:1;hipc_entry:18;state:61,0.10000000000000009,0.05737704918032782,40,15.6398,0.9255,7.8287,0.6846,40,7.8111,0.2694,completed
6,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,62.98912672085909,62.98912672085909,0,0,0,62,37,64,0,0,0,0,0,0.0,0,174,0,148,147,0,63,85,127,21,0.0,14.8,2.1,collision_intent:63;hipc_clear_bundle:1;hipc_entry:20;state:64,0.10000000000000009,0.09375,54,12.7036,0.5909,5.9334,0.399,54,6.7702,0.2767,completed
7,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,55.77959297077635,55.77959297077635,0,0,0,59,32,61,0,0,0,0,0,0.0,0,150,0,140,139,0,60,80,121,19,0.0,14.0,1.9,collision_intent:60;hipc_clear_bundle:1;hipc_entry:18;state:61,0.0,0.040983606557376984,33,12.8826,0.8356,6.9731,0.5669,33,5.9095,0.3326,completed
8,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,67.58512794501601,67.58512794501601,1,1,1,74,39,73,3,3,1,1,0,0.0,0,176,0,186,185,0,76,110,152,34,0.0,18.6,3.4,collision_intent:76;hipc_clear_bundle:1;hipc_entry:33;state:76,0.10000000000000009,0.006849315068493178,36,15.6096,0.8413,8.4627,0.5846,36,7.1469,0.2901,completed
9,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,52.058341933189595,52.058341933189595,0,0,0,60,30,61,1,0,0,0,0,0.0,0,136,0,140,139,0,60,80,122,18,0.0,14.0,1.8,collision_intent:60;hipc_entry:18;state:62,0.10000000000000009,0.008196721311475308,18,7.3854,0.8443,4.4697,0.5847,18,2.9157,0.2596,completed
10,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,49.50898544673298,49.50898544673298,0,0,0,54,29,56,0,0,0,0,0,0.0,0,133,0,130,129,0,55,75,111,19,0.0,13.0,1.9,collision_intent:55;hipc_clear_bundle:1;hipc_entry:18;state:56,0.19999999999999996,0.03571428571428581,31,8.9526,0.6117,4.7786,0.4296,31,4.174,0.1821,completed
11,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,59.89432644890995,59.89432644890995,0,0,0,67,35,69,0,1,0,0,0,0.0,0,156,0,165,164,0,69,96,138,27,0.0,16.5,2.7,collision_intent:69;hipc_clear_bundle:1;hipc_entry:26;state:69,0.10000000000000009,0.021739130434782705,24,11.2791,0.7661,6.433,0.5213,24,4.8461,0.257,completed
12,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,75.12463622673367,75.12463622673367,0,0,0,71,44,73,0,1,0,0,0,0.0,0,210,0,166,165,0,72,94,145,21,0.0,16.6,2.1,collision_intent:72;hipc_clear_bundle:1;hipc_entry:20;state:73,0.0,0.11643835616438358,75,25.7186,0.8066,11.8133,0.5543,75,13.9053,0.2872,completed
13,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,51.47470139345592,51.47470139345592,0,0,0,57,30,59,0,0,0,0,0,0.0,0,136,0,136,135,0,58,78,117,19,0.0,13.6,1.9,collision_intent:58;hipc_clear_bundle:1;hipc_entry:18;state:59,0.10000000000000009,0.025423728813559254,25,11.4289,0.8013,6.4565,0.5464,25,4.9724,0.2555,completed
14,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,80.93459330565162,80.93459330565162,0,0,0,77,47,79,0,1,1,1,0,0.0,0,228,0,181,180,0,79,102,158,23,0.0,18.1,2.3,collision_intent:79;hipc_clear_bundle:1;hipc_entry:22;state:79,0.10000000000000009,0.10759493670886067,72,23.783,0.773,10.6305,0.5382,72,13.1525,0.3123,completed
15,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,74.7705761446847,74.7705761446847,0,0,0,68,43,70,0,1,0,0,0,0.0,0,215,0,162,161,0,69,93,139,23,0.0,16.2,2.3,collision_intent:69;hipc_clear_bundle:1;hipc_entry:22;state:70,0.19999999999999996,0.12857142857142856,80,25.8387,0.7435,11.3335,0.5013,80,14.5052,0.2484,completed
16,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,79.51345325241168,79.51345325241168,0,0,0,72,46,73,1,0,0,0,0,0.0,0,227,0,170,169,0,73,97,147,23,0.0,17.0,2.3,collision_intent:73;hipc_clear_bundle:1;hipc_entry:22;state:74,0.10000000000000009,0.13013698630136994,86,26.0958,1.3931,11.5693,1.1125,86,14.5265,0.313,completed
17,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,72.81630683157363,72.81630683157363,0,0,0,71,43,73,0,3,0,0,0,0.0,0,200,0,171,170,0,72,99,145,26,0.0,17.1,2.6,collision_intent:72;hipc_clear_bundle:1;hipc_entry:25;state:73,0.0,0.10273972602739723,64,17.0404,0.8314,8.1603,0.5695,64,8.8801,0.2619,completed
18,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,55.72680535523214,55.72680535523214,0,0,0,64,32,66,0,0,0,0,0,0.0,0,145,0,148,147,0,64,84,130,18,0.0,14.8,1.8,collision_intent:64;hipc_entry:18;state:66,0.10000000000000009,0.0,17,9.2249,0.7919,5.47,0.5402,17,3.7549,0.2623,completed
19,known_visit,HIPC,ideal,1.0,19,361,2,10,hipc_g19_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid19_targets10_trials50.csv,10,True,54.37173373087768,54.37173373087768,0,0,0,57,32,59,0,0,0,0,0,0.0,0,145,0,136,135,0,58,78,117,19,0.0,13.6,1.9,collision_intent:58;hipc_clear_bundle:1;hipc_entry:18;state:59,0.10000000000000009,0.05932203389830515,38,11.5499,0.8569,5.9915,0.6026,38,5.5584,0.2654,completed
