trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status,failure_type,failure_message
0,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(18,2);(11,22);(9,9);(21,1);(14,2);(7,9);(21,24);(11,3);(3,18);(22,18)",10,True,48.6942768787344,48.6942768787344,00:2;01:2;02:0;03:0;04:2;05:0;06:0;07:0;08:0;09:3;10:0;11:1;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(18,2);(14,2);(0,4);(0,6);(9,9);(2,10);(0,12);(1,14);(3,18);(21,24);(0,20);(11,22);(1,24)",1144,0,completed,,
1,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,0);(22,23);(6,15);(23,23);(7,4);(12,6);(14,19);(20,4);(3,15);(10,16)",10,True,40.68998833632767,40.68998833632767,00:1;01:0;02:3;03:0;04:0;05:0;06:0;07:1;08:3;09:0;10:0;11:2;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(7,0);(0,2);(20,4);(0,6);(0,8);(0,10);(0,12);(5,15);(14,19);(1,18);(0,20);(23,23);(1,24)",961,0,completed,,
2,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(17,10);(15,0);(16,1);(21,23);(11,7);(1,11);(6,14);(8,0);(15,22);(24,6)",10,True,50.81436169167947,50.81436169167947,00:3;01:0;02:0;03:1;04:2;05:1;06:0;07:1;08:0;09:0;10:0;11:2;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(16,1);(12,2);(1,4);(13,10);(24,6);(1,11);(0,12);(6,14);(1,16);(1,18);(0,20);(21,23);(0,24)",1189,0,completed,,
3,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(14,2);(4,19);(6,15);(23,19);(22,10);(2,14);(17,16);(1,11);(9,14);(7,8)",10,True,65.13709751579397,65.13709751579397,00:0;01:2;02:0;03:0;04:1;05:1;06:0;07:3;08:0;09:2;10:1;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(22,10);(0,4);(0,6);(7,8);(2,14);(0,12);(9,14);(0,16);(23,19);(4,19);(0,22);(0,24)",1589,0,completed,,
4,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(2,13);(21,0);(16,9);(18,18);(20,1);(12,21);(8,20);(24,6);(20,12);(2,6)",10,True,54.30942001088937,54.30942001088937,00:3;01:0;02:0;03:3;04:0;05:0;06:1;07:0;08:0;09:0;10:3;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(24,6);(0,2);(6,4);(20,12);(0,8);(0,10);(2,13);(0,14);(0,16);(7,18);(18,18);(0,22);(0,24)",1289,0,completed,,
5,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,1);(2,6);(5,21);(7,2);(1,8);(16,3);(21,4);(24,20);(13,23);(5,6)",10,True,50.36425747012133,50.36425747012133,00:0;01:2;02:2;03:2;04:1;05:0;06:0;07:0;08:0;09:0;10:3;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(12,1);(21,4);(5,6);(1,8);(0,10);(1,12);(1,14);(1,16);(7,23);(24,20);(0,22);(0,24)",1205,0,completed,,
6,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(5,9);(24,15);(3,8);(9,8);(8,0);(24,20);(10,3);(13,9);(12,24);(11,14)",10,True,147.19124441541828,147.19124441541828,00:2;01:0;02:0;03:0;04:4;05:0;06:0;07:3;08:0;09:0;10:1;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(10,6);(5,11);(7,4);(12,6);(13,9);(7,10);(8,4);(24,20);(1,16);(6,8);(12,24);(3,12);(1,24)",3609,11,completed,,
7,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(4,17);(9,16);(9,18);(24,1);(21,18);(9,19);(2,19);(14,19);(14,22);(2,6)",10,True,42.90889508142123,42.90889508142123,00:0;01:1;02:0;03:1;04:0;05:0;06:0;07:2;08:1;09:5;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(0,0);(24,1);(1,4);(2,6);(0,8);(0,10);(1,12);(21,18);(4,19);(14,22);(5,20);(9,18);(1,24)",993,0,completed,,
8,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(8,11);(22,0);(10,0);(12,12);(22,15);(7,8);(12,17);(5,8);(20,13);(11,13)",10,True,46.21991155823929,46.21991155823929,00:2;01:0;02:0;03:0;04:2;05:0;06:1;07:4;08:1;09:0;10:0;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(22,0);(0,2);(0,4);(0,6);(8,11);(5,8);(12,11);(22,15);(13,17);(0,18);(0,20);(7,22);(0,24)",1072,0,completed,,
9,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,"(12,13);(0,15);(8,21);(12,5);(6,20);(1,10);(15,19);(2,11);(24,1);(15,2)",10,True,45.61372089175566,45.61372089175566,00:2;01:0;02:1;03:0;04:0;05:2;06:2;07:0;08:1;09:0;10:2;11:0;12:0,"(0,0);(0,2);(0,4);(0,6);(0,8);(0,10);(0,12);(0,14);(0,16);(0,18);(0,20);(0,22);(0,24)","(24,1);(5,2);(12,13);(0,6);(0,8);(2,11);(15,19);(0,14);(0,15);(1,18);(8,21);(0,22);(0,24)",1075,0,completed,,
