trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,blocked_task_quarantines_total,blocked_task_quarantine_time_s_total,maximum_quarantine_level,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,allocator_calls_total,allocator_time_ms_team_total,allocator_time_ms_team_max,allocator_solve_time_ms_team_total,allocator_solve_time_ms_team_max,candidate_filter_calls_total,candidate_filter_time_ms_team_total,candidate_filter_time_ms_team_max,trial_status,failure_type,failure_message,unique_targets_completed,debug_max_events
0,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,48.6942768787344,48.6942768787344,1,1,1,101,29,113,1,5,0,0,0,0.0,0,1144,0,275,2865,425,111,164,225,50,0.2170582226762002,27.5,5.0,collision_intent:111;hipc_clear_bundle:11;hipc_entry:39;state:114,0.676923076923077,0.5745405037440436,964,1653.3376,5.4568,1385.9383,5.0306,964,267.3993,0.5719,completed,,,,
1,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,40.68998833632767,40.68998833632767,0,0,0,82,24,95,0,4,0,0,0,0.0,0,961,0,222,2248,411,87,135,182,40,0.2544891640866873,22.2,4.0,collision_intent:87;hipc_clear_bundle:6;hipc_entry:34;state:95,0.7076923076923078,0.605668016194332,812,1271.9282,4.9514,1039.1233,4.5617,812,232.8049,0.5514,completed,,,,
2,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,50.81436169167947,50.81436169167947,0,0,0,109,30,121,1,3,2,1,1,5.0,1,1189,0,302,3064,551,121,181,243,59,0.2547387887193712,30.2,5.9,collision_intent:121;hipc_clear_bundle:11;hipc_entry:48;state:122,0.6461538461538463,0.5467260012714559,997,2214.596,5.9523,1821.4085,5.5206,997,393.1875,0.5795,completed,,,,
3,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,65.13709751579397,65.13709751579397,1,1,1,87,30,98,2,5,4,2,2,10.0,1,1589,0,243,2469,441,98,145,198,45,0.25432525951557095,24.3,4.5,collision_intent:98;hipc_clear_bundle:10;hipc_entry:35;state:100,0.6461538461538463,0.6263736263736264,1428,2210.0173,6.7933,1675.2913,6.3307,1428,534.726,1.1897,completed,,,,
4,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,54.30942001088937,54.30942001088937,0,0,0,96,32,109,0,0,0,0,0,0.0,0,1289,0,244,2488,430,103,141,212,32,0.2556480380499406,24.4,3.2,collision_intent:103;hipc_clear_bundle:6;hipc_entry:26;state:109,0.7384615384615385,0.629498941425547,1111,2753.7859,6.5466,2304.044,6.0566,1111,449.7419,0.7113,completed,,,,
5,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,50.36425747012133,50.36425747012133,1,1,1,87,30,94,6,7,0,0,0,0.0,0,1205,0,247,2508,446,97,150,197,50,0.24916201117318434,24.7,5.0,collision_intent:97;hipc_clear_bundle:11;hipc_entry:39;state:100,0.676923076923077,0.6104746317512275,1052,1946.7084,6.2767,1541.345,5.8137,1052,405.3634,0.6937,completed,,,,
6,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,147.19124441541828,147.19124441541828,2,2,2,177,30,159,31,8,4,3,1,5.0,1,3609,11,481,4946,816,196,285,386,95,0.23929618768328445,48.1,9.5,collision_intent:196;hipc_clear_bundle:19;hipc_entry:76;state:190,0.7692307692307694,0.3183357522980166,3288,3743.6916,6.0234,2582.7557,5.5705,3288,1160.9359,0.5345,completed,,,,
7,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,42.90889508142123,42.90889508142123,2,2,2,100,25,109,4,10,1,1,0,0.0,0,993,0,306,3112,550,116,190,229,77,0.2422907488986784,30.6,7.7,collision_intent:116;hipc_clear_bundle:19;hipc_entry:58;state:113,0.7538461538461538,0.5561044460127029,825,1446.2329,6.5669,1121.6249,6.0905,825,324.608,0.559,completed,,,,
8,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,46.21991155823929,46.21991155823929,2,2,2,101,27,112,2,7,3,1,1,5.0,1,1072,0,287,2908,527,110,177,224,63,0.2491725768321513,28.7,6.3,collision_intent:110;hipc_clear_bundle:10;hipc_entry:53;state:114,0.7230769230769232,0.5412087912087913,898,1791.3375,6.651,1453.2096,6.1597,898,338.1279,0.5728,completed,,,,
9,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,45.61372089175566,45.61372089175566,1,1,1,89,27,101,1,2,0,0,0,0.0,0,1075,0,238,2438,408,99,139,201,37,0.24607961399276237,23.8,3.7,collision_intent:99;hipc_clear_bundle:11;hipc_entry:26;state:102,0.6000000000000001,0.5955826351865956,913,1606.5272,4.9798,1248.074,4.5905,913,358.4532,0.6098,completed,,,,
10,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,42.86361676924895,42.86361676924895,1,1,1,98,26,110,1,4,0,0,0,0.0,0,990,0,267,2744,452,107,160,218,49,0.23640167364016737,26.7,4.9,collision_intent:107;hipc_clear_bundle:9;hipc_entry:40;state:111,0.7076923076923078,0.5202797202797202,816,2138.7341,6.5183,1803.1524,6.0573,816,335.5817,0.6623,completed,,,,
11,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,45.547333370447994,45.547333370447994,2,2,2,107,27,118,2,6,5,1,2,20.0,2,1052,0,303,3074,553,118,185,238,65,0.2501130710085934,30.3,6.5,collision_intent:118;hipc_clear_bundle:12;hipc_entry:53;state:120,0.7230769230769232,0.5658409387222947,857,2029.0692,6.6598,1689.4616,6.1855,857,339.6076,0.6289,completed,,,,
12,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,49.32767979319909,49.32767979319909,2,2,2,98,29,106,5,8,0,0,0,0.0,0,1157,0,270,2737,492,107,163,218,52,0.25295629820051413,27.0,5.2,collision_intent:107;hipc_clear_bundle:12;hipc_entry:40;state:111,0.6923076923076923,0.5428156748911466,989,1585.5618,6.1675,1220.9067,5.7256,989,364.6551,2.6519,completed,,,,
13,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,43.58496438609616,43.58496438609616,1,1,1,97,26,108,2,5,1,1,0,0.0,0,1009,0,270,2742,488,107,163,217,53,0.25077081192189105,27.0,5.3,collision_intent:107;hipc_clear_bundle:10;hipc_entry:43;state:110,0.6461538461538463,0.5811965811965814,835,2059.0589,5.5748,1717.7538,5.0251,835,341.3051,0.6249,completed,,,,
14,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,44.462266959520576,44.462266959520576,1,1,1,91,27,103,1,6,4,2,1,5.0,1,1042,0,246,2488,455,100,146,204,42,0.26104417670682734,24.6,4.2,collision_intent:100;hipc_clear_bundle:7;hipc_entry:35;state:104,0.676923076923077,0.6213592233009708,878,1808.5212,5.6135,1480.9347,5.171,878,327.5865,0.6045,completed,,,,
15,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,54.032663589273106,54.032663589273106,0,0,0,87,31,100,0,2,0,0,0,0.0,0,1291,0,248,2499,470,97,151,197,51,0.26038781163434904,24.8,5.1,collision_intent:97;hipc_clear_bundle:10;hipc_entry:41;state:100,0.7692307692307694,0.6200000000000001,1139,2605.1048,7.0432,2143.4572,6.4999,1139,461.6476,0.6182,completed,,,,
16,known_visit,HIPC,bernoulli,drop_0.25,25,625,13,10,hipc_g25_d50_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid25_targets10_trials50.csv,10,True,38.64978480185946,38.64978480185946,0,0,0,82,23,95,0,4,2,1,1,5.0,1,907,0,244,2469,449,93,151,188,56,0.24916759156492785,24.4,5.6,collision_intent:93;hipc_clear_bundle:9;hipc_entry:47;state:95,0.7692307692307694,0.5668016194331984,761,1954.8799,6.2117,1632.8723,5.7361,761,322.0076,0.6425,completed,,,,
