setting,run_id,algorithm,comm_label,comm_model,comm_level,horizon,scenario_file,grid_size,num_robots,num_targets,max_trials,out_dir
h1,dga_h1_ge_075,DGA,ge_075,gilbert_elliot,0.75,1,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h1/gilbert_elliot/dga_h1_ge_075
h1,dga_h1_rayleigh_m50_66,DGA,rayleigh_m50_66,rayleigh_style,-50.66,1,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h1/rayleigh_style/dga_h1_rayleigh_m50_66
h2,acbba_h2_ideal,ACBBA,ideal,ideal,,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/ideal/acbba_h2_ideal
h2,acbba_h2_bernoulli_025,ACBBA,bernoulli_025,bernoulli,0.25,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/bernoulli/acbba_h2_bernoulli_025
h2,acbba_h2_ge_075,ACBBA,ge_075,gilbert_elliot,0.75,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/gilbert_elliot/acbba_h2_ge_075
h2,acbba_h2_rayleigh_m50_66,ACBBA,rayleigh_m50_66,rayleigh_style,-50.66,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/rayleigh_style/acbba_h2_rayleigh_m50_66
h2,pi_h2_ideal,PI,ideal,ideal,,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/ideal/pi_h2_ideal
h2,pi_h2_bernoulli_025,PI,bernoulli_025,bernoulli,0.25,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/bernoulli/pi_h2_bernoulli_025
h2,pi_h2_ge_075,PI,ge_075,gilbert_elliot,0.75,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/gilbert_elliot/pi_h2_ge_075
h2,pi_h2_rayleigh_m50_66,PI,rayleigh_m50_66,rayleigh_style,-50.66,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/rayleigh_style/pi_h2_rayleigh_m50_66
h2,hipc_h2_ideal,HIPC,ideal,ideal,,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/ideal/hipc_h2_ideal
h2,hipc_h2_bernoulli_025,HIPC,bernoulli_025,bernoulli,0.25,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/bernoulli/hipc_h2_bernoulli_025
h2,hipc_h2_ge_075,HIPC,ge_075,gilbert_elliot,0.75,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/gilbert_elliot/hipc_h2_ge_075
h2,hipc_h2_rayleigh_m50_66,HIPC,rayleigh_m50_66,rayleigh_style,-50.66,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/rayleigh_style/hipc_h2_rayleigh_m50_66
h2,dmchba_h2_ideal,DMCHBA,ideal,ideal,,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/ideal/dmchba_h2_ideal
h2,dmchba_h2_bernoulli_025,DMCHBA,bernoulli_025,bernoulli,0.25,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/bernoulli/dmchba_h2_bernoulli_025
h2,dmchba_h2_ge_075,DMCHBA,ge_075,gilbert_elliot,0.75,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/gilbert_elliot/dmchba_h2_ge_075
h2,dmchba_h2_rayleigh_m50_66,DMCHBA,rayleigh_m50_66,rayleigh_style,-50.66,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/rayleigh_style/dmchba_h2_rayleigh_m50_66
h2,dga_h2_ideal,DGA,ideal,ideal,,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/ideal/dga_h2_ideal
h2,dga_h2_bernoulli_025,DGA,bernoulli_025,bernoulli,0.25,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/bernoulli/dga_h2_bernoulli_025
h2,dga_h2_ge_075,DGA,ge_075,gilbert_elliot,0.75,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/gilbert_elliot/dga_h2_ge_075
h2,dga_h2_rayleigh_m50_66,DGA,rayleigh_m50_66,rayleigh_style,-50.66,2,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h2/rayleigh_style/dga_h2_rayleigh_m50_66
h3,acbba_h3_ideal,ACBBA,ideal,ideal,,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/ideal/acbba_h3_ideal
h3,acbba_h3_bernoulli_025,ACBBA,bernoulli_025,bernoulli,0.25,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/bernoulli/acbba_h3_bernoulli_025
h3,acbba_h3_ge_075,ACBBA,ge_075,gilbert_elliot,0.75,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/gilbert_elliot/acbba_h3_ge_075
h3,acbba_h3_rayleigh_m50_66,ACBBA,rayleigh_m50_66,rayleigh_style,-50.66,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/rayleigh_style/acbba_h3_rayleigh_m50_66
h3,pi_h3_ideal,PI,ideal,ideal,,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/ideal/pi_h3_ideal
h3,pi_h3_bernoulli_025,PI,bernoulli_025,bernoulli,0.25,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/bernoulli/pi_h3_bernoulli_025
h3,pi_h3_ge_075,PI,ge_075,gilbert_elliot,0.75,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/gilbert_elliot/pi_h3_ge_075
h3,pi_h3_rayleigh_m50_66,PI,rayleigh_m50_66,rayleigh_style,-50.66,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/rayleigh_style/pi_h3_rayleigh_m50_66
h3,hipc_h3_ideal,HIPC,ideal,ideal,,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/ideal/hipc_h3_ideal
h3,hipc_h3_bernoulli_025,HIPC,bernoulli_025,bernoulli,0.25,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/bernoulli/hipc_h3_bernoulli_025
h3,hipc_h3_ge_075,HIPC,ge_075,gilbert_elliot,0.75,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/gilbert_elliot/hipc_h3_ge_075
h3,hipc_h3_rayleigh_m50_66,HIPC,rayleigh_m50_66,rayleigh_style,-50.66,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/rayleigh_style/hipc_h3_rayleigh_m50_66
h3,dmchba_h3_ideal,DMCHBA,ideal,ideal,,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/ideal/dmchba_h3_ideal
h3,dmchba_h3_bernoulli_025,DMCHBA,bernoulli_025,bernoulli,0.25,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/bernoulli/dmchba_h3_bernoulli_025
h3,dmchba_h3_ge_075,DMCHBA,ge_075,gilbert_elliot,0.75,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/gilbert_elliot/dmchba_h3_ge_075
h3,dmchba_h3_rayleigh_m50_66,DMCHBA,rayleigh_m50_66,rayleigh_style,-50.66,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/rayleigh_style/dmchba_h3_rayleigh_m50_66
h3,dga_h3_ideal,DGA,ideal,ideal,,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/ideal/dga_h3_ideal
h3,dga_h3_bernoulli_025,DGA,bernoulli_025,bernoulli,0.25,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/bernoulli/dga_h3_bernoulli_025
h3,dga_h3_ge_075,DGA,ge_075,gilbert_elliot,0.75,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/gilbert_elliot/dga_h3_ge_075
h3,dga_h3_rayleigh_m50_66,DGA,rayleigh_m50_66,rayleigh_style,-50.66,3,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h3/rayleigh_style/dga_h3_rayleigh_m50_66
h5,acbba_h5_ideal,ACBBA,ideal,ideal,,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/ideal/acbba_h5_ideal
h5,acbba_h5_bernoulli_025,ACBBA,bernoulli_025,bernoulli,0.25,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/bernoulli/acbba_h5_bernoulli_025
h5,acbba_h5_ge_075,ACBBA,ge_075,gilbert_elliot,0.75,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/gilbert_elliot/acbba_h5_ge_075
h5,acbba_h5_rayleigh_m50_66,ACBBA,rayleigh_m50_66,rayleigh_style,-50.66,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/rayleigh_style/acbba_h5_rayleigh_m50_66
h5,pi_h5_ideal,PI,ideal,ideal,,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/ideal/pi_h5_ideal
h5,pi_h5_bernoulli_025,PI,bernoulli_025,bernoulli,0.25,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/bernoulli/pi_h5_bernoulli_025
h5,pi_h5_ge_075,PI,ge_075,gilbert_elliot,0.75,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/gilbert_elliot/pi_h5_ge_075
h5,pi_h5_rayleigh_m50_66,PI,rayleigh_m50_66,rayleigh_style,-50.66,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/rayleigh_style/pi_h5_rayleigh_m50_66
h5,hipc_h5_ideal,HIPC,ideal,ideal,,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/ideal/hipc_h5_ideal
h5,hipc_h5_bernoulli_025,HIPC,bernoulli_025,bernoulli,0.25,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/bernoulli/hipc_h5_bernoulli_025
h5,hipc_h5_ge_075,HIPC,ge_075,gilbert_elliot,0.75,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/gilbert_elliot/hipc_h5_ge_075
h5,hipc_h5_rayleigh_m50_66,HIPC,rayleigh_m50_66,rayleigh_style,-50.66,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/rayleigh_style/hipc_h5_rayleigh_m50_66
h5,dmchba_h5_ideal,DMCHBA,ideal,ideal,,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/ideal/dmchba_h5_ideal
h5,dmchba_h5_bernoulli_025,DMCHBA,bernoulli_025,bernoulli,0.25,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/bernoulli/dmchba_h5_bernoulli_025
h5,dmchba_h5_ge_075,DMCHBA,ge_075,gilbert_elliot,0.75,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/gilbert_elliot/dmchba_h5_ge_075
h5,dmchba_h5_rayleigh_m50_66,DMCHBA,rayleigh_m50_66,rayleigh_style,-50.66,5,known_visit_10target_300.csv,19,4,10,300,runs/sensitivity_known_visit_horizon_300/raw/h5/rayleigh_style/dmchba_h5_rayleigh_m50_66
