trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
0,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,68.0855542085611,68.0855542085611,00:0;01:4;02:1;03:3;04:1;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(3,2);(28,1);(33,13);(24,22);(1,16);(23,30)",624,0,completed
1,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,53.42469494669374,53.42469494669374,00:1;01:0;02:3;03:1;04:2;05:3,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(14,6);(7,7);(19,17);(11,30);(27,21);(24,33)",470,0,completed
2,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,71.5700901318561,71.5700901318561,00:1;01:0;02:4;03:3;04:0;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(14,7);(3,7);(26,0);(29,15);(10,25);(21,32)",677,0,completed
3,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,62.42128835502799,62.42128835502799,00:2;01:2;02:0;03:1;04:3;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(9,2);(18,8);(4,13);(3,22);(32,21);(19,29)",612,0,completed
4,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,59.69645313030321,59.69645313030321,00:3;01:0;02:1;03:2;04:1;05:3,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(33,1);(9,9);(9,10);(17,18);(23,29);(29,29)",534,0,completed
5,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,63.83570803947963,63.83570803947963,00:2;01:3;02:0;03:2;04:1;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(4,2);(22,11);(2,13);(15,20);(16,26);(30,27)",620,0,completed
6,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,65.88798487927714,65.88798487927714,00:1;01:1;02:1;03:4;04:3;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(4,11);(17,2);(2,20);(23,9);(33,20);(14,33)",613,0,completed
7,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,59.099932618217544,59.099932618217544,00:3;01:4;02:0;03:1;04:2;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(24,5);(18,10);(7,13);(33,20);(22,28);(19,33)",521,0,completed
8,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,64.28323045950776,64.28323045950776,00:1;01:1;02:3;03:3;04:1;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(25,3);(5,8);(29,12);(24,29);(8,22);(11,32)",601,0,completed
9,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,62.18437674793853,62.18437674793853,00:3;01:1;02:2;03:2;04:2;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(23,3);(4,8);(31,19);(29,27);(18,24);(2,32)",571,0,completed
10,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,19);(15,13);(2,29);(13,8);(25,22);(16,8);(33,10);(18,14);(21,31);(22,25)",10,True,72.33715381397937,72.33715381397937,00:3;01:0;02:3;03:1;04:0;05:3,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(33,10);(1,7);(20,19);(5,31);(21,28);(25,22)",675,0,completed
11,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(8,17);(25,27);(1,25);(17,1);(15,15);(3,19);(24,17);(16,12);(29,24);(1,26)",10,True,59.51801419497065,59.51801419497065,00:1;01:2;02:0;03:3;04:4;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(17,1);(15,15);(4,13);(24,17);(29,24);(1,32)",571,0,completed
12,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(14,20);(19,27);(26,11);(31,30);(14,13);(20,1);(19,12);(15,5);(9,27);(20,0)",10,True,68.49516917208493,68.49516917208493,00:0;01:3;02:3;03:3;04:0;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(15,2);(20,0);(26,11);(31,30);(1,26);(9,27)",650,0,completed
13,known_visit,PI,ideal,1.0,34,1156,6,10,pi_g34_d220_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(23,7);(10,3);(25,1);(19,9);(30,19);(5,13);(33,25);(27,18);(14,17);(22,31)",10,True,70.45201771446854,70.45201771446854,00:1;01:3;02:2;03:3;04:0;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(10,3);(25,1);(14,17);(33,25);(11,15);(22,26)",635,0,completed
