trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status
10,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,19);(15,13);(2,29);(13,8);(25,22);(16,8);(33,10);(18,14);(21,31);(22,25)",10,True,60.448433655556244,60.448433655556244,00:0;01:3;02:2;03:3;04:1;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(16,13);(33,10);(17,29);(22,25);(15,12);(22,26)",460,0,completed
11,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(8,17);(25,27);(1,25);(17,1);(15,15);(3,19);(24,17);(16,12);(29,24);(1,26)",10,True,68.63597504592475,68.63597504592475,00:2;01:2;02:1;03:1;04:2;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(24,17);(2,17);(11,27);(15,16);(3,21);(29,24)",568,0,completed
12,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(14,20);(19,27);(26,11);(31,30);(14,13);(20,1);(19,12);(15,5);(9,27);(20,0)",10,True,59.16945757536004,59.16945757536004,00:2;01:1;02:3;03:1;04:3;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(20,5);(16,5);(26,11);(19,9);(31,30);(19,27)",480,0,completed
13,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(23,7);(10,3);(25,1);(19,9);(30,19);(5,13);(33,25);(27,18);(14,17);(22,31)",10,True,60.042146170108154,60.042146170108154,00:1;01:2;02:2;03:3;04:1;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(25,11);(19,3);(17,1);(30,19);(33,25);(22,28)",463,0,completed
14,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(26,21);(19,17);(30,30);(23,1);(28,33);(8,20);(30,13);(19,15);(2,18);(33,8)",10,True,86.49691746442161,86.49691746442161,00:2;01:1;02:2;03:2;04:1;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(31,13);(2,18);(30,13);(21,15);(28,33);(25,17)",695,0,completed
15,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(32,18);(21,0);(3,27);(7,8);(33,29);(20,7);(6,0);(20,31);(24,30);(16,32)",10,True,100.40832388123616,100.40832388123616,00:3;01:1;02:1;03:1;04:4;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(32,18);(21,6);(20,32);(33,27);(24,15);(7,0)",799,0,completed
16,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(16,14);(9,22);(26,13);(4,24);(11,9);(20,7);(27,16);(21,13);(22,30);(32,17)",10,True,60.81435302689564,60.81435302689564,00:1;01:1;02:4;03:0;04:3;05:1,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(20,7);(27,16);(32,17);(10,22);(21,13);(22,30)",460,0,completed
17,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,0);(19,24);(12,18);(21,27);(17,8);(5,23);(14,25);(33,9);(29,21);(16,3)",10,True,58.287927847168845,58.287927847168845,00:2;01:2;02:1;03:2;04:1;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(22,2);(33,9);(17,20);(29,22);(9,22);(17,24)",441,0,completed
18,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(24,8);(28,25);(26,24);(29,0);(11,25);(24,19);(20,9);(22,16);(12,3);(25,17)",10,True,67.1253174672681,67.1253174672681,00:1;01:3;02:1;03:2;04:3;05:0,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(24,15);(29,0);(16,25);(22,14);(29,18);(26,32)",520,0,completed
19,known_visit,ACBBA,bernoulli,drop_0.25,34,1156,6,10,acbba_g34_d220_bernoulli_drop_0_25,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(23,5);(13,19);(29,20);(27,28);(8,21);(15,14);(16,1);(3,33);(31,23);(17,0)",10,True,72.80215902976137,72.80215902976137,00:2;01:1;02:1;03:2;04:2;05:2,"(0,0);(0,7);(0,13);(0,20);(0,26);(0,33)","(23,5);(16,1);(8,33);(29,20);(31,23);(8,3)",584,0,completed
