trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,target_locations,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,targets_found_by_robot,robot_start_locations,robot_end_locations,events_processed,stall_recoveries_total,trial_status,failure_type,failure_message
0,known_visit,ACBBA,ideal,1.0,34,1156,14,10,acbba_g34_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(20,5);(28,1);(11,25);(20,24);(25,8);(3,5);(1,16);(23,30);(33,13);(24,22)",10,True,64.22877638266189,64.22877638266189,00:0;01:0;02:2;03:2;04:0;05:0;06:2;07:0;08:0;09:2;10:1;11:0;12:1;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(11,0);(5,3);(20,5);(28,1);(5,10);(11,13);(33,13);(6,18);(5,20);(24,22);(11,25);(6,28);(23,30);(6,33)",1523,0,completed,,
1,known_visit,ACBBA,ideal,1.0,34,1156,14,10,acbba_g34_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(19,17);(14,6);(17,16);(16,15);(5,33);(11,30);(26,23);(24,33);(27,21);(19,32)",10,True,55.2739695193662,55.2739695193662,00:0;01:0;02:1;03:0;04:0;05:0;06:3;07:2;08:0;09:0;10:0;11:0;12:3;13:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(15,0);(8,3);(14,6);(17,8);(3,10);(5,13);(19,17);(26,23);(4,20);(5,23);(4,25);(4,28);(24,33);(5,33)",1329,0,completed,,
2,known_visit,ACBBA,ideal,1.0,34,1156,14,10,acbba_g34_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(3,32);(26,0);(14,7);(19,20);(29,15);(24,23);(11,8);(21,32);(22,8);(10,12)",10,True,55.09711836201925,55.09711836201925,00:1;01:0;02:1;03:1;04:2;05:1;06:2;07:0;08:0;09:0;10:0;11:0;12:1;13:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(26,0);(14,4);(14,7);(10,12);(22,8);(29,15);(24,23);(6,18);(6,20);(6,23);(6,25);(6,28);(22,32);(12,32)",1249,0,completed,,
3,known_visit,ACBBA,ideal,1.0,34,1156,14,10,acbba_g34_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,8);(19,29);(2,31);(11,10);(20,22);(32,21);(14,23);(9,2);(6,3);(3,22)",10,True,57.546745531906815,57.546745531906815,00:0;01:2;02:1;03:0;04:2;05:1;06:0;07:0;08:0;09:2;10:0;11:0;12:1;13:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(8,0);(10,2);(18,8);(9,8);(14,23);(3,22);(4,18);(4,20);(6,21);(32,21);(7,23);(11,28);(19,29);(5,29)",1364,0,completed,,
4,known_visit,ACBBA,ideal,1.0,34,1156,14,10,acbba_g34_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(17,0);(33,1);(26,29);(15,17);(9,10);(17,18);(23,29);(13,30);(6,0);(29,29)",10,True,71.22044132471974,71.22044132471974,00:1;01:0;02:2;03:2;04:0;05:0;06:0;07:1;08:0;09:3;10:0;11:0;12:1;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(6,0);(10,6);(15,17);(33,1);(5,10);(5,13);(15,16);(23,24);(5,20);(29,29);(4,25);(6,28);(13,30);(5,33)",1716,0,completed,,
5,known_visit,ACBBA,ideal,1.0,34,1156,14,10,acbba_g34_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,6);(4,2);(16,26);(9,17);(5,0);(19,7);(31,31);(15,20);(30,27);(22,11)",10,True,64.22645643494033,64.22645643494033,00:1;01:0;02:1;03:3;04:0;05:0;06:0;07:1;08:0;09:1;10:0;11:3;12:0;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(5,0);(1,3);(4,2);(22,11);(6,10);(3,13);(2,15);(9,17);(6,20);(15,17);(5,25);(31,31);(18,30);(3,33)",1596,0,completed,,
6,known_visit,ACBBA,ideal,1.0,34,1156,14,10,acbba_g34_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(21,15);(1,18);(14,25);(6,19);(4,11);(20,18);(16,2);(23,22);(33,20);(23,9)",10,True,59.750831276750645,59.750831276750645,00:1;01:1;02:0;03:1;04:0;05:1;06:1;07:2;08:0;09:2;10:1;11:0;12:0;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(4,11);(16,2);(4,5);(23,9);(7,10);(7,19);(21,16);(20,18);(7,20);(33,20);(16,25);(5,28);(7,30);(5,33)",1402,0,completed,,
7,known_visit,ACBBA,ideal,1.0,34,1156,14,10,acbba_g34_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(11,6);(22,28);(9,12);(33,20);(16,10);(15,3);(24,5);(9,8);(18,10);(4,26)",10,True,73.0747167661566,73.0747167661566,00:0;01:2;02:0;03:2;04:1;05:1;06:0;07:0;08:1;09:0;10:1;11:0;12:2;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(7,0);(24,5);(9,5);(11,6);(16,10);(9,12);(7,15);(6,18);(18,10);(5,23);(5,26);(5,28);(33,20);(5,33)",1796,0,completed,,
8,known_visit,ACBBA,ideal,1.0,34,1156,14,10,acbba_g34_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(10,22);(29,12);(29,17);(17,15);(11,32);(24,29);(25,3);(5,8);(6,23);(18,30)",10,True,58.53657959990543,58.53657959990543,00:0;01:1;02:0;03:1;04:1;05:1;06:0;07:2;08:0;09:1;10:0;11:0;12:2;13:1,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(5,1);(25,3);(4,5);(5,8);(10,22);(17,15);(7,15);(29,12);(8,20);(6,23);(5,25);(8,28);(24,29);(11,32)",1389,0,completed,,
9,known_visit,ACBBA,ideal,1.0,34,1156,14,10,acbba_g34_d85_ideal,reruns\grid_density\scenarios\cv\known_visit_grid34_targets10_trials50.csv,"(18,24);(6,0);(2,8);(22,15);(23,3);(22,26);(14,7);(29,27);(31,19);(17,25)",10,True,79.05278242120598,79.05278242120598,00:1;01:1;02:0;03:2;04:0;05:0;06:0;07:1;08:0;09:2;10:0;11:1;12:2;13:0,"(0,0);(0,3);(0,5);(0,8);(0,10);(0,13);(0,15);(0,18);(0,20);(0,23);(0,25);(0,28);(0,30);(0,33)","(16,0);(23,6);(20,6);(17,13);(8,10);(10,13);(11,15);(22,15);(10,20);(17,26);(12,25);(22,23);(31,19);(11,33)",1861,0,completed,,
