trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,completed_target_count,all_targets_visited,final_target_completion_time_s,final_target_completion_sim_time_s,duplicate_target_visits,target_conflicts,task_cell_revisits_total,total_team_steps,max_robot_steps,unique_cells_visited,system_revisits,task_cell_replans_total,path_replans_total,collision_prevention_events,events_processed,stall_recoveries_total,messages_sent_total,messages_delivered_total,messages_dropped_total,protected_messages_sent_total,unprotected_messages_sent_total,core_messages_sent_total,allocation_messages_sent_total,message_drop_fraction,messages_per_completed_target,allocation_messages_per_completed_target,messages_sent_by_topic,workload_gini_targets_found,workload_gini_unique_cells_contributed,benchmark_suite,num_targets,num_robots,commitment_horizon
0,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,77.07046828714536,77.07046828714536,9,9,9,148,45,118,34,1,15,1,406,0,437,721,590,151,286,303,134,0.6876456876456877,43.7,13.4,collision_intent:151;pi_clear_path:2;pi_entry:132;state:152,0.1499999999999999,0.10593220338983045,known_visit_core_500,10,4,8
1,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,85.49377789027982,85.49377789027982,11,11,11,150,50,110,44,2,0,0,490,0,442,722,601,154,288,308,134,0.6980255516840883,44.2,13.4,collision_intent:154;pi_clear_path:4;pi_entry:130;state:154,0.25,0.1454545454545455,known_visit_core_500,10,4,8
2,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,88.98941050830484,88.98941050830484,9,9,9,175,52,138,41,1,12,10,488,0,522,865,699,179,343,358,164,0.6806231742940604,52.2,16.4,collision_intent:179;pi_clear_path:2;pi_entry:162;state:179,0.25,0.11956521739130443,known_visit_core_500,10,4,8
3,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,52.51363600590033,52.51363600590033,6,6,6,105,31,91,18,0,2,2,290,0,363,549,539,109,254,218,145,0.7082785808147175,36.3,14.5,collision_intent:109;pi_clear_path:2;pi_entry:143;state:109,0.44999999999999996,0.11813186813186816,known_visit_core_500,10,4,8
4,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,64.60002088881228,64.60002088881228,13,13,13,141,37,102,43,1,9,5,345,0,438,703,609,146,292,291,147,0.6967963386727689,43.8,14.7,collision_intent:146;pi_clear_path:1;pi_entry:146;state:145,0.3500000000000001,0.18137254901960786,known_visit_core_500,10,4,8
5,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,76.85046604199928,76.85046604199928,8,8,8,150,43,117,37,5,16,12,419,0,496,788,700,164,332,318,178,0.7028112449799196,49.6,17.8,collision_intent:164;pi_clear_path:4;pi_entry:174;state:154,0.25,0.05341880341880345,known_visit_core_500,10,4,8
6,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,98.26850436395375,98.26850436395375,10,10,10,180,57,140,44,3,21,7,540,0,549,881,764,187,362,371,178,0.7047970479704797,54.9,17.8,collision_intent:187;pi_clear_path:3;pi_entry:175;state:184,0.44999999999999996,0.1428571428571428,known_visit_core_500,10,4,8
7,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,94.07414109770959,94.07414109770959,14,14,14,176,54,122,58,3,9,7,523,0,508,863,660,184,324,364,144,0.6797116374871267,50.8,14.4,collision_intent:184;pi_clear_path:4;pi_entry:140;state:180,0.30000000000000004,0.10245901639344268,known_visit_core_500,10,4,8
8,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,181.6507292125918,181.6507292125918,7,7,7,149,45,128,25,2,145,3,1111,2,690,915,1155,155,535,308,382,0.719626168224299,69.0,38.2,collision_intent:155;pi_clear_path:3;pi_entry:379;state:153,0.3500000000000001,0.05859375,known_visit_core_500,10,4,8
9,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,77.12719072778064,77.12719072778064,10,10,10,160,45,118,46,3,7,5,408,0,529,838,747,165,364,329,200,0.6853211009174311,52.9,20.0,collision_intent:165;pi_clear_path:2;pi_entry:198;state:164,0.30000000000000004,0.14830508474576276,known_visit_core_500,10,4,8
10,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,65.79801065511471,65.79801065511471,9,9,9,128,38,105,27,2,8,4,350,0,447,672,668,133,314,265,182,0.7098831030818279,44.7,18.2,collision_intent:133;pi_clear_path:2;pi_entry:180;state:132,0.44999999999999996,0.1261904761904762,known_visit_core_500,10,4,8
11,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,114.28720780358448,114.28720780358448,12,12,12,211,66,137,78,5,14,6,632,0,601,1024,778,220,381,435,166,0.681260945709282,60.1,16.6,collision_intent:220;pi_clear_path:7;pi_entry:159;state:215,0.44999999999999996,0.20985401459854014,known_visit_core_500,10,4,8
12,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,146.1083600472278,146.1083600472278,10,10,10,210,58,153,61,1,18,5,863,0,617,1047,803,220,397,434,183,0.6747899159663866,61.7,18.3,collision_intent:220;pi_clear_path:5;pi_entry:178;state:214,0.10000000000000009,0.03758169934640532,known_visit_core_500,10,4,8
13,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,75.09779609293052,75.09779609293052,11,11,11,166,43,134,36,2,11,9,378,0,488,801,663,172,316,342,146,0.6993670886075949,48.8,14.6,collision_intent:172;pi_clear_path:1;pi_entry:145;state:170,0.3999999999999999,0.0671641791044777,known_visit_core_500,10,4,8
14,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,44.034870087113916,44.034870087113916,4,4,4,94,26,90,8,2,6,2,236,0,374,545,575,100,274,198,176,0.7012195121951219,37.4,17.6,collision_intent:100;pi_clear_path:4;pi_entry:172;state:98,0.10000000000000009,0.03888888888888897,known_visit_core_500,10,4,8
15,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,209.69512715155327,209.69512715155327,13,13,13,220,74,158,66,2,197,12,1156,2,889,1291,1373,234,655,458,431,0.6994396332144677,88.9,43.1,collision_intent:234;pi_clear_path:4;pi_entry:427;state:224,0.25,0.06962025316455689,known_visit_core_500,10,4,8
16,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,67.6956621639748,67.6956621639748,13,13,13,134,40,100,38,1,4,4,375,0,458,706,668,140,318,278,180,0.70020964360587,45.8,18.0,collision_intent:140;pi_clear_path:3;pi_entry:177;state:138,0.1499999999999999,0.16999999999999993,known_visit_core_500,10,4,8
17,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,82.86616699423499,82.86616699423499,9,9,9,144,48,119,29,2,16,6,467,0,453,729,628,151,302,299,154,0.6946902654867256,45.3,15.4,collision_intent:151;pi_clear_path:4;pi_entry:150;state:148,0.5,0.16596638655462193,known_visit_core_500,10,4,8
18,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,61.74261162104564,61.74261162104564,8,8,8,132,36,114,22,3,4,2,327,0,463,719,669,137,326,273,190,0.6847492323439099,46.3,19.0,collision_intent:137;pi_clear_path:2;pi_entry:188;state:136,0.25,0.06578947368421062,known_visit_core_500,10,4,8
19,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,81.38094017140152,81.38094017140152,12,12,12,177,47,134,47,2,3,3,428,0,515,827,717,181,334,362,153,0.7162837162837162,51.5,15.3,collision_intent:181;pi_clear_path:3;pi_entry:150;state:181,0.25,0.08955223880597019,known_visit_core_500,10,4,8
20,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,67.3585840436169,67.3585840436169,6,6,6,139,39,125,18,3,9,5,372,0,481,746,697,149,332,292,189,0.6997991967871486,48.1,18.9,collision_intent:149;pi_clear_path:2;pi_entry:187;state:143,0.3999999999999999,0.09400000000000008,known_visit_core_500,10,4,8
21,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,74.56774741352605,74.56774741352605,10,10,10,158,43,113,49,1,9,7,382,0,492,799,676,166,326,328,164,0.691914022517912,49.2,16.4,collision_intent:166;pi_clear_path:2;pi_entry:162;state:162,0.10000000000000009,0.11725663716814161,known_visit_core_500,10,4,8
22,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,45.680435898897365,45.680435898897365,8,8,8,106,27,86,24,3,0,0,236,0,389,581,586,106,283,216,173,0.690223792697291,38.9,17.3,collision_intent:106;pi_entry:173;state:110,0.44999999999999996,0.12209302325581395,known_visit_core_500,10,4,8
23,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,65.38551356042983,65.38551356042983,6,6,6,137,37,114,27,3,12,7,350,0,469,743,662,145,324,286,183,0.6824742268041237,46.9,18.3,collision_intent:145;pi_clear_path:1;pi_entry:182;state:141,0.3999999999999999,0.17105263157894735,known_visit_core_500,10,4,8
24,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,52.5361035365117,52.5361035365117,6,6,6,117,30,98,23,3,3,2,266,0,401,627,574,121,280,242,159,0.684964200477327,40.1,15.9,collision_intent:121;pi_clear_path:1;pi_entry:158;state:121,0.10000000000000009,0.09183673469387754,known_visit_core_500,10,4,8
25,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,76.46606767692275,76.46606767692275,11,11,11,143,44,123,24,3,29,2,394,0,489,777,689,149,340,296,193,0.676153091265947,48.9,19.3,collision_intent:149;pi_clear_path:3;pi_entry:190;state:147,0.1499999999999999,0.09959349593495936,known_visit_core_500,10,4,8
26,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,63.877511771614756,63.877511771614756,4,4,4,146,38,137,13,2,0,0,320,0,434,694,608,147,287,297,137,0.7061556329849012,43.4,13.7,collision_intent:147;pi_clear_path:1;pi_entry:136;state:150,0.30000000000000004,0.04562043795620441,known_visit_core_500,10,4,8
27,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,50.9341068813003,50.9341068813003,6,6,6,102,30,91,15,1,3,2,285,0,312,510,426,106,206,212,100,0.6893203883495146,31.2,10.0,collision_intent:106;pi_clear_path:2;pi_entry:98;state:106,0.3999999999999999,0.18406593406593408,known_visit_core_500,10,4,8
28,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,81.39061973173746,81.39061973173746,10,10,10,177,47,132,49,0,5,5,432,0,525,874,700,183,342,364,161,0.6829268292682927,52.5,16.1,collision_intent:183;pi_clear_path:2;pi_entry:159;state:181,0.44999999999999996,0.15909090909090917,known_visit_core_500,10,4,8
29,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,57.92902415431816,57.92902415431816,6,6,6,126,34,103,27,3,3,3,305,0,408,646,578,130,278,260,148,0.6930455635491607,40.8,14.8,collision_intent:130;pi_clear_path:3;pi_entry:145;state:130,0.25,0.11893203883495151,known_visit_core_500,10,4,8
30,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,86.79461066873692,86.79461066873692,10,10,10,184,49,134,54,3,21,19,456,0,556,901,766,194,362,382,174,0.7059907834101382,55.6,17.4,collision_intent:194;pi_clear_path:1;pi_entry:173;state:188,0.30000000000000004,0.08208955223880587,known_visit_core_500,10,4,8
31,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,117.38383311256727,117.38383311256727,14,14,14,250,67,164,90,1,14,14,634,0,701,1186,915,260,441,514,187,0.6926570779712339,70.1,18.7,collision_intent:260;pi_clear_path:3;pi_entry:184;state:254,0.3999999999999999,0.07621951219512191,known_visit_core_500,10,4,8
32,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,90.53773620957388,90.53773620957388,10,10,10,185,53,145,44,1,5,3,487,0,505,874,639,191,314,380,125,0.6797872340425531,50.5,12.5,collision_intent:191;pi_clear_path:3;pi_entry:122;state:189,0.5,0.08448275862068955,known_visit_core_500,10,4,8
33,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,85.76217337341042,85.76217337341042,11,11,11,175,50,123,56,2,1,1,462,0,504,833,677,179,325,358,146,0.6957862281603289,50.4,14.6,collision_intent:179;pi_clear_path:3;pi_entry:143;state:179,0.30000000000000004,0.11585365853658547,known_visit_core_500,10,4,8
34,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,44.85462121805884,44.85462121805884,5,5,5,101,26,90,15,1,5,1,235,0,355,538,525,103,252,208,147,0.6962864721485411,35.5,14.7,collision_intent:103;pi_entry:147;state:105,0.3500000000000001,0.1166666666666667,known_visit_core_500,10,4,8
35,known_visit,PI,gilbert_elliot,0.3,19,361,4,10,pi_gilbert_elliot_pGG_0_3_pBB_0_7,known_visit_g19_t10_n500.csv,10,True,68.31288718710697,68.31288718710697,12,12,12,154,40,107,51,0,6,4,343,0,488,780,684,159,329,317,171,0.6930091185410334,48.8,17.1,collision_intent:159;pi_clear_path:1;pi_entry:170;state:158,0.7,0.18457943925233655,known_visit_core_500,10,4,8
