trial_id,trial_mode,algorithm,comm_model,comm_level,grid_size,grid_cells,robot_count,target_count,condition_id,scenario_file,robot_id,steps_total,targets_found,task_cell_revisits,unique_cells_contributed,system_revisits_by_robot,task_cell_replans,path_replans,collision_prevention_events,stall_recoveries,messages_sent,core_messages_sent,allocation_messages_sent,messages_delivered_to_robot,messages_dropped_to_robot,sensitivity_suite,sensitivity_parameter,sensitivity_value,sensitivity_label,num_targets,num_robots
0,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,00,29,2,3,23,7,0,0,0,0,103,60,43,171,39,known_visit_horizon,commitment_horizon,8,h8,10,4
0,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,01,15,4,0,16,0,1,0,0,0,57,32,25,208,48,known_visit_horizon,commitment_horizon,8,h8,10,4
0,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,02,31,3,2,26,6,1,27,1,0,121,66,55,164,29,known_visit_horizon,commitment_horizon,8,h8,10,4
0,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,03,8,1,1,7,2,0,0,0,0,33,20,13,226,54,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,00,24,4,0,25,0,0,0,0,0,92,50,42,141,28,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,01,27,4,0,28,0,1,0,0,0,73,55,18,147,41,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,02,11,1,0,12,0,1,0,0,0,39,24,15,184,38,known_visit_horizon,commitment_horizon,8,h8,10,4
1,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,03,22,1,0,22,1,0,0,0,0,57,46,11,170,34,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,00,41,2,1,39,3,0,3,3,0,116,84,32,211,41,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,01,50,5,1,48,3,0,3,3,0,125,105,20,212,31,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,02,7,1,0,8,0,0,0,0,0,26,16,10,294,47,known_visit_horizon,commitment_horizon,8,h8,10,4
2,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,03,36,2,1,22,15,0,0,0,0,101,75,26,231,35,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,00,26,3,0,27,0,1,0,0,0,69,53,16,165,20,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,01,17,2,2,12,6,0,0,0,0,59,36,23,157,37,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,02,16,2,1,12,5,0,0,0,0,57,35,22,165,31,known_visit_horizon,commitment_horizon,8,h8,10,4
3,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,03,25,3,0,26,0,1,0,0,0,69,51,18,158,27,known_visit_horizon,commitment_horizon,8,h8,10,4
4,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,00,33,6,0,34,0,0,0,0,1,107,69,38,480,127,known_visit_horizon,commitment_horizon,8,h8,10,4
4,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,01,42,1,4,29,14,1,135,1,0,463,86,377,205,47,known_visit_horizon,commitment_horizon,8,h8,10,4
4,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,02,11,1,0,12,0,1,0,0,1,35,25,10,530,149,known_visit_horizon,commitment_horizon,8,h8,10,4
4,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,03,42,2,2,31,12,0,0,0,0,110,87,23,471,133,known_visit_horizon,commitment_horizon,8,h8,10,4
5,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,00,11,1,0,12,0,0,0,0,0,56,24,32,173,34,known_visit_horizon,commitment_horizon,8,h8,10,4
5,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,01,25,5,0,26,0,2,0,0,0,72,51,21,158,34,known_visit_horizon,commitment_horizon,8,h8,10,4
5,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,02,21,1,1,21,1,1,0,0,0,64,46,18,164,35,known_visit_horizon,commitment_horizon,8,h8,10,4
5,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,03,26,3,0,27,0,0,0,0,0,72,53,19,151,41,known_visit_horizon,commitment_horizon,8,h8,10,4
6,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,00,33,5,0,34,0,0,0,0,0,103,67,36,154,23,known_visit_horizon,commitment_horizon,8,h8,10,4
6,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,01,10,1,1,10,1,0,0,0,0,33,22,11,205,41,known_visit_horizon,commitment_horizon,8,h8,10,4
6,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,02,28,2,1,24,5,0,0,0,0,68,58,10,174,37,known_visit_horizon,commitment_horizon,8,h8,10,4
6,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,03,26,2,1,21,6,0,0,0,0,76,55,21,171,33,known_visit_horizon,commitment_horizon,8,h8,10,4
7,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,00,25,1,1,21,5,0,0,0,0,62,53,9,222,47,known_visit_horizon,commitment_horizon,8,h8,10,4
7,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,01,43,7,0,44,0,1,0,0,0,127,88,39,173,32,known_visit_horizon,commitment_horizon,8,h8,10,4
7,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,02,10,1,0,11,0,0,0,0,0,39,22,17,244,48,known_visit_horizon,commitment_horizon,8,h8,10,4
7,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,03,39,1,3,21,19,1,0,0,0,104,80,24,185,42,known_visit_horizon,commitment_horizon,8,h8,10,4
8,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,00,25,3,1,24,2,0,15,1,0,128,52,76,146,22,known_visit_horizon,commitment_horizon,8,h8,10,4
8,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,01,2,2,0,3,0,0,0,0,0,21,7,14,228,46,known_visit_horizon,commitment_horizon,8,h8,10,4
8,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,02,17,0,0,16,2,0,18,1,0,51,37,14,210,35,known_visit_horizon,commitment_horizon,8,h8,10,4
8,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,03,36,5,0,37,0,0,0,0,0,96,73,23,161,39,known_visit_horizon,commitment_horizon,8,h8,10,4
9,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,00,22,3,0,23,0,0,0,0,0,61,46,15,187,40,known_visit_horizon,commitment_horizon,8,h8,10,4
9,known_visit,PI,gilbert_elliot,0.75,19,361,4,10,pi_h8_ge_075,known_visit_10target_300.csv,01,23,3,2,21,3,0,0,0,0,81,47,34,167,41,known_visit_horizon,commitment_horizon,8,h8,10,4
